Rank,Exercise Name,Level,Env.,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest Time,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,Demo,env
19,Reverse Fly,Beg,All,Shoulders,Low,3,15,--,30s,Post. Delt,⭐,None,Posture,Scap. Retract,Improves posture by strengthening rear delts.,Hold band at chest height; pull arms back.,🎥,all
20,Toe Touch,Beg,All,Abs,Med,3,20,--,30s,Ab Tone,⭐⭐,Crunch,Reach High,Ab Definition,Increases resistance during resisted crunch.,Legs up; band at ankles; reach for toes.,🎥,all
21,Leg Raise,Beg,All,Abs,High,3,12,--,60s,Core Strength,⭐⭐⭐,Alt. Leg Raise,No Back Arch,Core Bracing,Intensifies challenge on lower abs/flexors.,Lie on back; band at ankles; lift both together.,🎥,all
22,Jump Squat,Beg,All,Quads,High,4,8,--,90s,Explosive,⭐⭐⭐,Squat,Soft Landing,Vertical Leap,Combines plyometrics with resistance.,Squat deep; explosively jump; land softly.,🎥,all
23,Lunge Kickback,Beg,All,Quads,Med,3,10ea,--,45s,Post. Chain,⭐⭐,Lunge,Balance,Triple Ext.,Enhances hip extension with a lunge kickback.,Perform lunge; kick back leg out at the top.,🎥,all
24,Plank Kickback,Beg,All,Abs,High,3,10ea,--,60s,Core/Glute,⭐⭐⭐,Plank,Level Hips,Anti-Rotation,Challenges core while firing the glute.,High plank; lift one leg; keep hips level.,🎥,all
25,Mt. Climber,Beg,All,Abs,High,3,20ea,30s Sprint,60s,Metabolic,⭐⭐⭐,Plank,Fast Feet,Engine Build,High-intensity move with resisted knee drive.,High plank; band on feet; drive knees to chest.,🎥,all
26,Scap Retraction,Beg,All,Shoulders,Low,3,15,--,30s,Upper Back,⭐,None,Scap. Move,Shoulder Health,Focuses on shoulder blade movement.,Hold band in front; pull shoulder blades together.,🎥,all
27,Around World,Beg,All,Abs,High,3,5ea,--,60s,Elite Stab.,⭐⭐⭐,Plank,Total Control,Shoulder/Core,Complex plank lifting limbs against a tug.,In plank; move one limb outward in a circle.,🎥,all
28,Hip Flexor,Beg,All,Quads,Med,3,15ea,--,30s,Stride Power,⭐⭐,None,Drive Knee,Sprint Power,Essential for improving sprint knee drive.,Band on feet; pull one knee to chest.,🎥,all
29,Scissor Kick,Beg,All,Abs,Med,3,--,45s Work,45s,Ab Endurance,⭐⭐,Leg Raise,Speed/Tension,Lower Ab Power,Intensifies flutter kick for activation.,Lie on back; legs straight; fast up/down kicks.,🎥,all
30,Standing Flexion,Beg,All,Quads,Low,3,15ea,--,30s,Hip Mobility,⭐,None,Tall Spine,Balance,Standing isolation for flexors and quads.,Band on feet; lift knee to hip height.,🎥,all
31,Bridge w/ Raise,Inter,All,Glutes,High,3,8ea,--,60s,Unilat. Stab.,⭐⭐⭐,Bridge,Hips High,Core Sync,Addresses strength imbalances between sides.,Hold bridge; lift one leg; alternate sides.,🎥,all
32,Hydrant Circle,Beg,All,Abductors,Med,3,10ea,--,30s,Hip Range,⭐⭐,Hydrant,Fluid Motion,Joint Health,Enhances mobility via circular motions.,Same as hydrant but move knee in large circles.,🎥,all
33,Banded Curtsy,Inter,All,Quads,Med,3,12ea,--,45s,Side Glute,⭐⭐,Lunge,Torso Facing,Hip Mobility,Engages hips/glutes more than standard lunge.,Step foot back and across; keep knee stable.,🎥,all
