Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,demo,env,sport,Description
42,Wide Grip BB Curl,Beg,Biceps,Low,3,10,--,60s,Short Head,⭐,BB Curl,Bicep Width,Peak Dev.,Focuses on the inner head of the bicep.,Grip wider than shoulders; curl to chin.,Watch Video,w_room,Weight Room,Focuses on the inner head of the bicep.
43,Palms-Up Wrist Curl,Beg,Forearms,Low,3,20,--,45s,Flexor Str.,⭐,None,Grip,Forearm Mass,Targets inner forearm flexors.,Forearms on bench; curl wrists upward.,Watch Video,w_room,Weight Room,Targets inner forearm flexors.
44,Lower Back Stretch,Beg,Lower Back,Low,2,--,60s,--,Recovery,⭐,None,Flexibilty,Injury Prev.,Flexibility and recovery move.,Hinge forward slowly to stretch lumbar.,Watch Video,w_room,Weight Room,Flexibility and recovery move.
45,Pause Bench Press,Inter,Chest,Med,4,5,--,120s,Press Power,⭐⭐,Bench Press,Control,Chest Snap,Increases explosive pressing power.,Pause on chest for 2s; press with no bounce.,Watch Video,w_room,Weight Room,Increases explosive pressing power.
46,BB Front Raise,Inter,Shoulders,Low,3,12,--,60s,Anterior Delt,⭐,None,Front Cap,Delta Size,Isolates the front deltoid.,Straight arms; lift to shoulder height.,Watch Video,w_room,Weight Room,Isolates the front deltoid.
47,Pause Front Squat,Inter,Quads,High,3,5,--,120s,Rack Stability,⭐⭐⭐,Front Squat,Posture,Core Brace,Enhances front rack stability and power.,Pause at bottom; maintain high elbows.,Watch Video,w_room,Weight Room,Enhances front rack stability and power.
48,Palms-Down Wrist,Beg,Forearms,Low,3,20,--,45s,Extensor Str.,⭐,None,Grip,Wrist Health,Targets outer forearm extensors.,Forearms on bench; curl palms downward.,Watch Video,w_room,Weight Room,Targets outer forearm extensors.
49,Single Arm LM Row,Beg,Back,Low,3,12ea,--,60s,Unilat. Back,⭐,LM Row,Symmetry,Lat Focus,Unilateral back isolation using landmine.,Stand beside bar; row end to hip.,Watch Video,w_room,Weight Room,Unilateral back isolation using landmine.
50,Clean Deadlift,Adv,Hamstrings,High,4,3,--,150s,Pull Mechanics,⭐⭐⭐,Deadlift,First Pull,Olympic Prep,Mimics the first pull of a Clean.,Start hips low; chest up; vertical path.,Watch Video,w_room,Weight Room,Mimics the first pull of a Clean.
51,Box Squat,Adv,Quads,High,5,5,--,180s,Expl. Hips,⭐⭐⭐,Back Squat,Power,Speed Squat,Develops explosive hip drive.,Squat to box; pause; drive upward.,Watch Video,w_room,Weight Room,Develops explosive hip drive.
52,Stiff-Legged DL,Inter,Hamstrings,Med,3,10,--,90s,Hamstring Iso,⭐⭐,Deadlift,Stretch,Hame Size,Focuses on hamstring elongation.,Legs locked; lower bar to feel stretch.,Watch Video,w_room,Weight Room,Focuses on hamstring elongation.
53,Split Squat,Inter,Quads,Med,3,10ea,--,60s,Quad Iso,⭐⭐,Lunge,Stability,Knee Health,Static lunge for quad development.,Staggered stance; lower back knee to floor.,Watch Video,w_room,Weight Room,Static lunge for quad development.
54,Landmine Press,Beg,Shoulders,Low,3,12,--,60s,Joint Health,⭐,None,Push Power,Sh. Mobility,Angled press for shoulder health.,Press end of bar up/forward at angle.,Watch Video,w_room,Weight Room,Angled press for shoulder health.
55,Pause Decline,Inter,Chest,Med,3,8,--,90s,Lower Pec Pow,⭐⭐,Decline Bench,Control,Pec Pop,Lower pec power builder.,Pause at bottom of decline; press control.,Watch Video,w_room,Weight Room,Lower pec power builder.
56,Landmine RDL,Beg,Hamstrings,Low,3,12,--,60s,Hinge Form,⭐,None,Hinge Pattern,Hip Stability,Stable hip hinge variation.,Stand at bar end; hinge hips back; pull.,Watch Video,w_room,Weight Room,Stable hip hinge variation.
57,LM Squat to Press,Inter,Quads,Med,3,10,--,90s,Full Body,⭐⭐,LM Press,Coordination,Athleticism,Full-body coordination and power.,Squat then explosively press at top.,Watch Video,w_room,Weight Room,Full-body coordination and power.
58,DL to Calf Raise,Inter,Hamstrings,High,3,10,--,90s,Posterior/Calf,⭐⭐,Deadlift,Balance,Ankle Power,Combines posterior chain and calf work.,Deadlift then rise onto toes at top.,Watch Video,w_room,Weight Room,Combines posterior chain and calf work.
59,Hang Clean,Inter,Quads,High,5,3,--,150s,Expl. Power,⭐⭐⭐,Power Clean,Speed,Vert. Power,"Explosive power from the ""hang.""",From mid-thigh; jump/shrug to catch.,Watch Video,w_room,Weight Room,"Explosive power from the ""hang."""
60,Deep Partial Squat,Inter,Quads,Med,3,15,--,90s,Range Focus,⭐⭐,Back Squat,Endurance,Strength Arc,Targets the most difficult bottom range.,Squat deep; rise halfway; return to bottom.,Watch Video,w_room,Weight Room,Targets the most difficult bottom range.
61,Single Arm LM Prs,Beg,Shoulders,Low,3,12ea,--,60s,Unilat. Stab,⭐,LM Press,Sh. Health,Core Brace,Unilateral overhead stability.,Press end of bar with one arm; engage core.,Watch Video,w_room,Weight Room,Unilateral overhead stability.
62,Behind Back Shrug,Beg,Trapezius,Low,3,15,--,45s,Upper Traps,⭐,BB Shrug,Trap Dev.,Posture,Hits the upper and middle traps.,Hold bar behind glutes; shrug to ears.,Watch Video,w_room,Weight Room,Hits the upper and middle traps.
63,Hang Power Clean,Inter,Quads,High,4,5,--,120s,High Catch,⭐⭐⭐,Power Clean,Catch Speed,Foot Speed,High-catch explosive movement.,From thighs; catch on shoulders in partial sq.,Watch Video,w_room,Weight Room,High-catch explosive movement.
64,LM Core Rotation,Beg,Abs,Low,3,10ea,--,45s,Rotational,⭐,None,Obliques,Anti-Rot.,Rotational core strength.,Hold bar; rotate side-to-side using abs.,Watch Video,w_room,Weight Room,Rotational core strength.
65,Hang Snatch,Inter,Hamstrings,Max,5,3,--,180s,Speed-Strength,⭐⭐⭐,Overhead Sq,Athleticism,Explosive,Explosive overhead pull from the hang.,One motion from thighs to overhead.,Watch Video,w_room,Weight Room,Explosive overhead pull from the hang.
66,Power Snatch,Inter,Hamstrings,Max,5,3,--,180s,Expl. Pull,⭐⭐⭐,Snatch,Power,Field Speed,Floor-to-overhead explosive lift.,Pull from floor; catch overhead in partial sq.,Watch Video,w_room,Weight Room,Floor-to-overhead explosive lift.
67,Reverse Grip Bench,Inter,Chest,Med,3,10,--,90s,Upper Pec/Tri,⭐⭐,Bench Press,Arm Size,Bench Variation,Emphasizes upper chest and triceps.,Palms-up grip; lower to mid-chest.,Watch Video,w_room,Weight Room,Emphasizes upper chest and triceps.
68,BB Pause Curl,Beg,Biceps,Low,3,12,--,60s,Time/Tension,⭐,BB Curl,Bicep Peak,Size,Increases time under tension for biceps.,Pause 2s at top of curl; squeeze hard.,Watch Video,w_room,Weight Room,Increases time under tension for biceps.
69,Seated Calf Raise,Beg,Calves,Low,4,15,--,45s,Soleus,⭐,None,Calf Size,Ankle Mobil.,Targets the soleus muscle.,Sit with bar on knees; rise onto toes.,Watch Video,w_room,Weight Room,Targets the soleus muscle.
70,Australian Pull Up,Beg,Back,Low,3,12,--,60s,BW Pull,⭐,None,Posture,Strength,Bodyweight horizontal row.,Hang from low bar; pull chest to bar.,Watch Video,w_room,Weight Room,Bodyweight horizontal row.
71,RDL to Shrug,Inter,Hamstrings,Med,3,10,--,90s,Combo Move,⭐⭐,RDL,Posterior,Trap Dev,Compound pull for hams and traps.,Perform RDL; perform shrug at top.,Watch Video,w_room,Weight Room,Compound pull for hams and traps.
72,Zercher Squat,Adv,Quads,High,4,8,--,120s,Core/Quad,⭐⭐⭐,Back Squat,Core Brace,Lower Pow,Intense core and quad challenge.,Hold bar in elbows; squat deep.,Watch Video,w_room,Weight Room,Intense core and quad challenge.
73,Snatch Grip DL,Inter,Hamstrings,High,3,5,--,180s,Rom / Upper Bk,⭐⭐⭐,Deadlift,Grip,Back Size,Increases range of motion for the pull.,Grip bar very wide; hips lower; pull.,Watch Video,w_room,Weight Room,Increases range of motion for the pull.
74,Z-Press,Adv,Shoulders,High,3,8,--,120s,Core Stability,⭐⭐⭐,Sh. Press,Strict Power,Pure Press,Seated press requiring extreme core.,Sit on floor; press overhead; no support.,Watch Video,w_room,Weight Room,Seated press requiring extreme core.
75,Floor Skull Crush,Inter,Triceps,Low,3,12,--,60s,Tricep Iso,⭐,None,Arm Mass,Tricep Dev,Tricep isolation with limited range.,Lie on floor; lower bar behind head.,Watch Video,w_room,Weight Room,Tricep isolation with limited range.
76,Meadows Row,Beg,Back,Low,3,12ea,--,60s,Lat Isolation,⭐,None,Lat Width,Back Detail,T-bar variation for lat isolation.,Stand perpendicular to LM; row end to hip.,Watch Video,w_room,Weight Room,T-bar variation for lat isolation.
77,Jefferson Squat,Inter,Quads,Med,3,10,--,90s,Inner Thigh,⭐⭐,None,Mobility,Strength,Straddle squat for inner thigh/quads.,"Straddle bar; one hand front, one back.",Watch Video,w_room,Weight Room,Straddle squat for inner thigh/quads.
78,Hack Squat (BB),Inter,Quads,Med,3,12,--,90s,Quad Dominant,⭐⭐,None,Leg Mass,Strength,Behind-the-legs squat for quads.,Hold bar behind heels; squat down.,Watch Video,w_room,Weight Room,Behind-the-legs squat for quads.
79,Close Upright Row,Beg,Trapezius,Low,3,12,--,60s,Trap Focus,⭐,None,Trap Height,Posture,High-trap isolation.,Hands 4in apart; pull to chin; elbows high.,Watch Video,w_room,Weight Room,High-trap isolation.
80,Wide Upright Row,Beg,Shoulders,Low,3,12,--,60s,Side Delt,⭐,None,Sh. Width,Delt Cap,Lateral delt focus.,Hands sh-width; pull to chest; flare elbows.,Watch Video,w_room,Weight Room,Lateral delt focus.
81,Cuban Press,Inter,Shoulders,Low,3,15,--,60s,Sh. Health,⭐,None,Mobility,Injury Prev,Rotator cuff and shoulder health.,Row; rotate; press; reverse.,Watch Video,w_room,Weight Room,Rotator cuff and shoulder health.
82,Bradford Press,Inter,Shoulders,Med,3,12,--,60s,Time/Tension,⭐⭐,Sh. Press,Endurance,Delt Pump,Increases time under tension for delts.,Press to back of neck then to front.,Watch Video,w_room,Weight Room,Increases time under tension for delts.
83,Savickas Press,Adv,Shoulders,High,3,8,--,120s,Pure Press,⭐⭐⭐,Z-Press,Max Effort,Core Brace,Pure seated pressing from floor.,Sit on floor; press overhead; leg straight.,Watch Video,w_room,Weight Room,Pure seated pressing from floor.
84,J-Hook Curl,Beg,Biceps,Low,3,12,--,60s,Peak Bicep,⭐,BB Curl,Bicep Peak,Detail,Focuses on the top peak contraction.,Curl; at top pull elbows forward.,Watch Video,w_room,Weight Room,Focuses on the top peak contraction.
85,Cheat Curl,Inter,Biceps,Med,3,6-8,--,90s,Eccentric Load,⭐⭐,BB Curl,Power,Size,Overloads the eccentric phase.,Use hips to curl; lower very slowly.,Watch Video,w_room,Weight Room,Overloads the eccentric phase.
86,Concentration (BB),Beg,Biceps,Low,3,15,--,45s,Iso Peak,⭐,BB Curl,Form,Definition,Seated bicep isolation.,Sit; lean forward; curl bar toward face.,Watch Video,w_room,Weight Room,Seated bicep isolation.
87,Spider Curl,Beg,Biceps,Low,3,12,--,60s,Momentum-Free,⭐,BB Curl,Strict Reps,Bicep Shape,Eliminates all momentum.,Lean chest-down on incline; curl from hang.,Watch Video,w_room,Weight Room,Eliminates all momentum.
88,Preacher Curl,Beg,Biceps,Low,3,12,--,60s,Short Head,⭐,BB Curl,Size,Detail,Isolates the short head of the bicep.,Arms on preacher pad; curl bar.,Watch Video,w_room,Weight Room,Isolates the short head of the bicep.
89,Tate Press,Inter,Triceps,Low,3,12,--,60s,Tri-Extension,⭐,None,Lockout,Arm Width,Unique tricep extension on bench.,Weights at chest; flare elbows; press up.,Watch Video,w_room,Weight Room,Unique tricep extension on bench.
90,JM Press,Inter,Triceps,Med,3,10,--,90s,Mass Builder,⭐⭐,Bench Press,Lockout,Tri Thickness,Hybrid bench/skull crusher.,Lower to chin; tuck elbows; press.,Watch Video,w_room,Weight Room,Hybrid bench/skull crusher.
91,California Press,Inter,Triceps,Med,3,10,--,90s,Hybrid Mass,⭐⭐,JM Press,Strength,Bench Acc.,Another hybrid for tricep mass.,Lower to upper chest; press like bench.,Watch Video,w_room,Weight Room,Another hybrid for tricep mass.
92,Overhead Tri Ext,Inter,Triceps,Low,3,12,--,60s,Long Head,⭐,None,Stretch,Tri Size,Stretches the triceps.,Hold bar overhead; lower behind neck.,Watch Video,w_room,Weight Room,Stretches the triceps.
93,Drag Row,Beg,Back,Low,3,15,--,60s,Lat Iso,⭐,None,Posture,Back Health,Lat isolation.,Pull bar up legs; pull elbows back.,Watch Video,w_room,Weight Room,Lat isolation.
94,Seal Row,Inter,Back,Med,3,10,--,90s,Strict Pull,⭐⭐,BB Row,Back Width,No Cheat Row,Eliminates lower back/leg drive.,Lie chest-down on elevated bench; row.,Watch Video,w_room,Weight Room,Eliminates lower back/leg drive.
95,Kroc Row (BB),Inter,Back,High,3,20,--,120s,Volume,⭐⭐,BB Row,Size,Work Cap.,High-volume back builder.,Heavy rows with body English; high reps.,Watch Video,w_room,Weight Room,High-volume back builder.
96,T-Bar Row,Beg,Back,Low,3,12,--,60s,Mid-Back,⭐,None,Thickness,Strength,Mid-back thickness builder.,Bar in corner; pull to chest; neutral grip.,Watch Video,w_room,Weight Room,Mid-back thickness builder.
97,Scapular Shrug,Beg,Back,Low,3,15,--,30s,Scap. Health,⭐,None,Posture,Sh. Stability,Shoulder blade health/stability.,Arms straight; move blades together/apart.,Watch Video,w_room,Weight Room,Shoulder blade health/stability.
98,Face Pull (BB),Beg,Shoulders,Low,3,15,--,45s,Post. Chain,⭐,None,Sh. Health,Posture,Rear delt and trap health.,Pull toward forehead; flare elbows.,Watch Video,w_room,Weight Room,Rear delt and trap health.
99,W-Raise (BB),Beg,Shoulders,Low,3,15,--,30s,Rotator Cuff,⭐,None,Stability,Prehab,Rotator cuff and upper back.,"Raise bar so arms form a ""W.""",Watch Video,w_room,Weight Room,Rotator cuff and upper back.
100,Y-Raise (BB),Beg,Shoulders,Low,3,15,--,30s,Lower Trap,⭐,None,Stability,Scap. Move,Lower trap and shoulder health.,Raise bar forward and up at 45 deg.,Watch Video,w_room,Weight Room,Lower trap and shoulder health.
101,Viking Press,Inter,Shoulders,Med,3,10,--,90s,Strict Power,⭐⭐,LM Press,Power,Sh. Mass,Neutral grip overhead press.,Hold handles on LM; press overhead.,Watch Video,w_room,Weight Room,Neutral grip overhead press.
102,Seesaw Press,Inter,Shoulders,Med,3,12,--,60s,Coordination,⭐⭐,Sh. Press,Stability,Tension,Alternating overhead press.,One presses up as other lowers.,Watch Video,w_room,Weight Room,Alternating overhead press.
103,Waiter Curl,Beg,Biceps,Low,3,12,--,45s,Bicep Peak,⭐,BB Curl,Focus,Peak Detail,Targets bicep peak.,Hold bar on palms; curl with wrists out.,Watch Video,w_room,Weight Room,Targets bicep peak.
104,Floor Fly (BB),Inter,Chest,Low,3,15,--,60s,Chest Iso,⭐,None,Saftey,Pec Growth,Chest isolation with floor safety.,Fly on floor; floor stops arms at depth.,Watch Video,w_room,Weight Room,Chest isolation with floor safety.
105,Svend Press,Beg,Chest,Low,3,15,--,30s,Pec Tension,⭐,None,Squeeze,Definition,Chest squeeze and definition.,Pinch plates; press forward and back.,Watch Video,w_room,Weight Room,Chest squeeze and definition.
106,Chest Pull-Over,Inter,Lats/Chest,Low,3,12,--,60s,Stretch,⭐,None,Rib Cage,Lat Stretch,Stretches chest and engages lats.,Lie on bench; lower bar behind head.,Watch Video,w_room,Weight Room,Stretches chest and engages lats.
107,Zercher Deadlift,Adv,Hamstrings,High,3,5,--,150s,Core/Pull,⭐⭐⭐,Zercher Sq,Pure Power,Low Pull,Deep pull from the floor.,Bar in crooks of elbows; pull from floor.,Watch Video,w_room,Weight Room,Deep pull from the floor.
108,Deficit Deadlift,Adv,Hamstrings,Max,3,5,--,180s,Leg Drive,⭐⭐⭐,Deadlift,First Pull,Strength,Increases leg drive from floor.,Stand on plate; pull from lower position.,Watch Video,w_room,Weight Room,Increases leg drive from floor.
109,Block Pull,Inter,Lower Back,High,3,5,--,150s,Lockout,⭐⭐,Deadlift,Strength,Heavy Load,Targets the lockout phase.,Deadlift starting on blocks.,Watch Video,w_room,Weight Room,Targets the lockout phase.
110,Snatch Grip RDL,Inter,Hamstrings,Med,3,10,--,90s,Upper Bk/Ham,⭐⭐,RDL,Mobility,Ham. Size,Extra stretch for hamstrings.,Wide grip; perform RDL.,Watch Video,w_room,Weight Room,Extra stretch for hamstrings.
111,GM to Squat,Inter,Full Body,High,3,8,--,120s,Coordination,⭐⭐⭐,Good Morning,Functional,Athleticism,Posterior/Anterior chain combo.,Perform GM; transition into squat.,Watch Video,w_room,Weight Room,Posterior/Anterior chain combo.
112,Suitcase DL,Inter,Abs/Core,High,3,8ea,--,90s,Anti-Lateral,⭐⭐⭐,Deadlift,Core Stab.,Spine Health,Anti-lateral core stability.,Hold bar in one hand; deadlift level.,Watch Video,w_room,Weight Room,Anti-lateral core stability.
113,LM Windmill,Adv,Abs/Core,High,3,5ea,--,120s,Core Power,⭐⭐⭐,LM Press,Mobility,Oblique Pow,Oblique and shoulder power.,Hold bar overhead; hinge; touch floor.,Watch Video,w_room,Weight Room,Oblique and shoulder power.
