Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,Demo,Env.,equipment,sport
134,2-Ball Jog Alt,Int,Quads/CNS,Med,3,Half,30s,30s,Move. Handle,⭐⭐⭐,Drill 127,Steady,Fast,Jog with 2-ball alternating [01:41:15].,Don't trip on the balls.,https://www.youtube.com/watch?v=aySQTi4vyos&t=6075s,Gym,Basketball,Basketball
133,2-Ball Jog front,Int,Quads/CNS,Med,3,Half,30s,30s,Move. Handle,⭐⭐⭐,Drill 126,Steady,Fast,Jog with 2-ball same pound [01:40:00].,Dribble in front of body.,https://www.youtube.com/watch?v=aySQTi4vyos&t=6000s,Gym,Basketball,Basketball
126,2-Ball Same Pound,Int,Shoulders,Med,3,50,30s,30s,Ambidexterity,⭐⭐⭐,None,Strong,Sync,Dribble two balls simultaneously [01:30:00].,"Knees bent, chest up.",https://www.youtube.com/watch?v=aySQTi4vyos&t=5400s,Gym,Basketball,Basketball
135,2-Ball Sprint Same,Adv,Lungs/CNS,High,3,Full,20s,45s,Transition,⭐⭐⭐⭐,Drill 133,Max Speed,Elite,Full court sprint 2-ball same [01:42:30].,Push the ball ahead.,https://www.youtube.com/watch?v=aySQTi4vyos&t=6150s,Gym,Basketball,Basketball
318,2-Foot Jump Hook,Beg,Legs,Low,3,15,--,45s,Finishing,⭐,None,11/15 Made,14/15 Made,Power jump hook off two feet.,Strong jump; maintain balance.,🎥,Gym,Basketball,Basketball
389,2-Foot Power Hop,Inter,Legs,High,4,8,--,60s,Explosion,⭐⭐,None,Verticality,Strength,Hop into the paint off two feet to score.,Catch/dribble; explosive hop; stay strong.,🎥,Gym,Basketball,Basketball
6,270 Degree Turn,Adv,Core/Glutes,High,2,10,40s,45s,Spatial Awareness,⭐⭐⭐,Drill 5,Consistency,Speed,Rotation past 180 to find the target [22:39].,Keep eyes on target while spinning.,[22:46],Gym,Basketball,Basketball
44,270 Degree Turn,Adv,Core/CNS,High,2,8,30s,30s,Athleticism,⭐⭐⭐⭐,Drill 43,Control,Stability,Jump and turn 270 degrees,Keep ball in pocket,(https://www.youtube.com/watch?v=aySQTi4vyos&t=1322s),Gym,Basketball,Basketball
469,3-Level Scoring (L),Int,Full Body,Med,3,15,90s,60s,Versatility,⭐⭐⭐,None,60% Make,80% Make,Finishing/Mid/3pt from left side [03:35:30].,Focus on footwork.,https://www.youtube.com/watch?v=aySQTi4vyos&t=12930s,Gym,Basketball,Basketball
468,3-Level Scoring (R),Int,Full Body,Med,3,15,90s,60s,Versatility,⭐⭐⭐,None,60% Make,80% Make,Finishing/Mid/3pt from right side [03:35:00].,Transition between moves fast.,https://www.youtube.com/watch?v=aySQTi4vyos&t=12900s,Gym,Basketball,Basketball
12,"3-Point ""Count 3""",Int,Legs/Shoulders,Med,1,Fail,N/A,60s,Shooting Range,⭐⭐⭐,Drill 11,4 in a row,8 in a row,Shooting 3s until a miss; 3 pts per make [43:35].,Maintain arc even when tired.,[43:42],Gym,Basketball,Basketball
7,360 Degree Jump,Adv,Full Body/CNS,High,2,5,30s,60s,Explosion,⭐⭐⭐⭐,High Vert,Complete Spin,Balance,Jump and spin full circle before landing [21:17].,Get low and squat before jumping.,[21:36],Gym,Basketball,Basketball
45,360 Degree Turn,Elite,Full Body,Extreme,1,5,45s,60s,Coordination,⭐⭐⭐⭐⭐,Drill 44,Elite Bal.,Mastery,Full 360 jump and spin,Squat low before jumping,(https://www.youtube.com/watch?v=aySQTi4vyos&t=1309s),Gym,Basketball,Basketball
411,360 Spin Finish,Adv,Full Body,Max,3,8,--,90s,Elite Skill,⭐⭐⭐,Spin Move,Coordination,Finish,Spin completely around defender to score.,Tight handle; explosive turn.,🎥,Gym,Basketball,Basketball
68,3pt Count-Up (2s),Adv,Lungs,Extreme,2,20,120s,90s,Conditioning,⭐⭐⭐⭐,Drill 11,20 Points,24 Points,Switch to mid-range after missing a 3 [00:43:48].,Stay focused on mechanics.,https://www.youtube.com/watch?v=aySQTi4vyos&t=2628s,Gym,Basketball,Basketball
67,3pt Count-Up (3s),Adv,Lungs,Extreme,2,20,120s,90s,Conditioning,⭐⭐⭐⭐,Drill 11,12 Points,18 Points,Make as many 3s as possible; 3 pts per make [00:43:35].,High release under fatigue.,https://www.youtube.com/watch?v=aySQTi4vyos&t=2615s,Gym,Basketball,Basketball
648,3pt Shooting (Move),Int,Lungs/Shoulder,High,3,20,120s,60s,Conditioning,⭐⭐⭐,Drill 207,10 Makes,14 Makes,Continuous 3pt shots moving from wing to wing.,Don't let your form break as you tire.,https://www.youtube.com/watch?v=aySQTi4vyos&t=13440s,Gym,Basketball,Basketball
69,5-Spot Left Pull-up,Int,Shoulders,Med,5,10,60s,30s,Off-Dribble,⭐⭐⭐,Drill 11,60% Make,75% Make,One dribble left into a jump shot from 5 spots [00:48:15].,Keep elbow tucked on pull-up.,https://www.youtube.com/watch?v=aySQTi4vyos&t=2895s,Gym,Basketball,Basketball
70,5-Spot Right Pull-up,Int,Shoulders,Med,5,10,60s,30s,Off-Dribble,⭐⭐⭐,Drill 11,60% Make,75% Make,One dribble right into a jump shot from 5 spots [00:48:21].,Drive through the front foot.,https://www.youtube.com/watch?v=aySQTi4vyos&t=2901s,Gym,Basketball,Basketball
42,90 Degree Turn,Beg,Ankles,Low,2,12,30s,20s,Footwork,⭐⭐,None,Balance,Quick Turn,Jump and turn 90 degrees,Land soft on balls of feet,(https://www.youtube.com/watch?v=aySQTi4vyos&t=1322s),Gym,Basketball,Basketball
200,Active Hands Handle,Adv,CNS/Focus,High,4,30s,30s,30s,Focus,⭐⭐⭐⭐,Drill 1,No Loss,Elite,Dribble while partner swiped at ball [01:28:00].,Protect ball with off-arm.,https://www.youtube.com/watch?v=aySQTi4vyos&t=5280s,Gym,Basketball,Basketball
233,Attack Middle Hook,Inter,Quads/Shoulders,Med,3,10,--,60s,Post Scoring,⭐⭐,Hook Shot,7/10 Made,9/10 Made,Dribble to middle into a hook shot.,Shoulder to defender's chest; extend hook.,🎥,Gym,Basketball,Basketball
234,Back Down (Floor Vision),Beg,Full Body,Low,3,10,--,45s,Awareness,⭐,None,See Whole Floor,Read Double,Backing down while seeing the whole floor.,Keep eyes up; don't turn back to help.,🎥,Gym,Basketball,Basketball
467,Back Wall Sit,Adv,Quads/CNS,High,3,60s,-,60s,Endurance,⭐⭐⭐⭐,Drill 116,No Drops,Steel Legs,Constant behind-back in wall sit [03:32:45].,Keep back flat against wall.,https://www.youtube.com/watch?v=aySQTi4vyos&t=12765s,Gym,Basketball,Basketball
181,Backdoor Cut,Int,Lungs,Med,4,10,60s,45s,Finishing,⭐⭐⭐,None,Timing,Finish,Overplay fake into a baseline cut [05:18:00].,Give a target hand early.,https://www.youtube.com/watch?v=aySQTi4vyos&t=19080s,Gym,Basketball,Basketball
115,Backpedal & Sprint,Int,Hamstrings,Med,4,8,45s,30s,Transition,⭐⭐⭐,None,Quick Turn,Speed,"Backpedal to half, sprint to rim [04:50:00].",Keep weight over toes on pedal.,https://www.youtube.com/watch?v=aySQTi4vyos&t=17400s,Gym,Basketball,Basketball
37,Bad Pass Shooting,Adv,CNS/Focus,High,3,15,60s,45s,Adjustability,⭐⭐⭐⭐,Drill 11,60%,75%,Receiving bad passes and shooting,Reset feet quickly,(https://www.youtube.com/watch?v=aySQTi4vyos&t=2235s),Gym,Basketball,Basketball
673,Ball Handling: Combo 5,Adv,CNS,High,3,10,-,60s,Handle,⭐⭐⭐⭐,Drill 557,Flow,Elite,Cross-Between-Back-Cross-Spin combo.,Perform at maximum game speed.,https://www.youtube.com/watch?v=aySQTi4vyos&t=9450s,Gym,Basketball,Basketball
375,Ball Screen Pop (Deep),Adv,Shoulders/Quads,High,3,15,--,90s,Shooting,⭐⭐⭐,Jump Shot,7/15 Made,10/15 Made,Screen and pop for an NBA range 3.,Fast back-pedal; quick set and shoot.,🎥,Gym,Basketball,Basketball
250,Bank Shot,Beg,Shoulders,Low,3,15,--,45s,Precision,⭐,None,10/15 Made,13/15 Made,Face up jump shot off the glass.,Aim for top corner of square; soft touch.,🎥,Gym,Basketball,Basketball
473,Baseline 15-Footers,Int,Shoulders,Med,4,15,60s,45s,Consistency,⭐⭐⭐,Drill 11,60% Make,80% Make,Catch and shoot baseline jumpers [03:43:00].,Don't drift out of bounds.,https://www.youtube.com/watch?v=aySQTi4vyos&t=13380s,Gym,Basketball,Basketball
333,Baseline Bump Fin.,Inter,Shoulders,High,3,10,--,60s,Contact,⭐⭐,None,Body Control,And-1,"Drive baseline, bump, and score.",Initiate contact; stay on balance.,🎥,Gym,Basketball,Basketball
101,Baseline Drive Finish,Int,Quads,Med,3,10,60s,30s,Pathing,⭐⭐⭐,None,Strong Edge,Corner Finish,Drive baseline and finish with a layup.,Don't go under the backboard.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3950s,Gym,Basketball,Basketball
386,Baseline Exit Screen,Inter,Full Body,Med,3,10,--,60s,IQ,⭐⭐,None,Screen Quality,Read Switch,Screening for a shooter in the corner.,Wide base; don't move during contact.,🎥,Gym,Basketball,Basketball
493,Baseline Rip Drive,Int,Shoulders/Quads,Med,4,12,60s,30s,Aggression,⭐⭐⭐,None,Explosion,Score,Rip ball and drive baseline corner [04:02:30].,Don't step out of bounds.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14550s,Gym,Basketball,Basketball
370,Baseline Seal Jumper,Inter,Glutes/Shoulders,Med,3,12,--,60s,Position,⭐⭐,None,8/12 Made,10/12 Made,"Seal baseline, pivot, and shoot.",Create room with bump; quick shot.,🎥,Gym,Basketball,Basketball
220,Behind Back Pass,Adv,CNS/Wrist,High,2,10,45s,60s,Flashiness,⭐⭐⭐⭐,Drill 83,Smooth,No Turnovers,Pass behind waist to partner [03:52:00].,Flick the wrist at target.,https://www.youtube.com/watch?v=aySQTi4vyos&t=13920s,Gym,Basketball,Basketball
57,Between Legs Pass,Adv,CNS/Wrist,High,2,15,45s,45s,Flashiness,⭐⭐⭐⭐,Drill 31,Consistency,Game Play,Dribble pass between legs,Lunge deep for space,(https://www.youtube.com/watch?v=aySQTi4vyos&t=25303s),Gym,Basketball,Basketball
466,Between Wall Sit,Adv,Quads/CNS,High,3,60s,-,60s,Endurance,⭐⭐⭐⭐,Drill 116,No Drops,Steel Legs,Constant between-legs in wall sit [03:32:30].,Pass ball through thighs.,https://www.youtube.com/watch?v=aySQTi4vyos&t=12750s,Gym,Basketball,Basketball
31,Between-Legs Pull-up,Int,Forearms/Legs,Med,4,12,60s,30s,Shot Creation,⭐⭐⭐,Drill 18,Quick Shift,Elite Speed,Dribble between legs into shot,Do not fall back,(https://www.youtube.com/watch?v=aySQTi4vyos&t=1632s),Gym,Basketball,Basketball
961,Bio: 90/90 Stretch,Beg,Hips,Low,3,30s,-,20s,Health,⭐⭐,None,Range,Wellness,90/90 hip mobility position.,Keep the torso tall.,https://www.youtube.com/watch?v=aySQTi4vyos&t=26100s,Gym,Basketball,Basketball
1189,Bio: 90/90 Stretch,Beg,Hips,Low,3,30s,-,20s,Health,⭐⭐,Drill 961,Range,Wellness,Hip mobility stretch on the floor.,Keep your torso tall and square.,https://www.youtube.com/watch?v=aySQTi4vyos&t=26100s,Gym,Basketball,Basketball
847,Bio: Ankle Isometrics,Beg,Ankles,Low,3,45s,-,30s,Stability,⭐⭐,None,Stillness,Health,Push against a wall with your mid-foot.,Keep the heel 1 inch off floor.,https://www.youtube.com/watch?v=aySQTi4vyos&t=21000s,Gym,Basketball,Basketball
1186,Bio: Ankle Isos,Beg,Ankles,Low,3,30s,-,30s,Health,⭐⭐,Drill 1064,Stillness,Health,Push against a wall with your foot.,Strengthens tendons for jumping.,https://www.youtube.com/watch?v=aySQTi4vyos&t=21000s,Gym,Basketball,Basketball
846,Bio: Banded First-S,Int,Glutes/Ankles,Med,4,10,-,45s,Explosion,⭐⭐⭐,None,Snap,Strength,First-step drive against a resistance band.,Drive the knee forward.,https://www.youtube.com/watch?v=aySQTi4vyos&t=21300s,Gym,Basketball,Basketball
962,Bio: Big Toe Mob,Beg,Feet,Low,3,15,-,20s,Health,⭐⭐,None,Flex,Wellness,Isolating movement of the big toe.,Crucial for balance and jumping.,https://www.youtube.com/watch?v=aySQTi4vyos&t=21000s,Gym,Basketball,Basketball
963,Bio: Cat-Cow,Beg,Back/Core,Low,3,15,-,20s,Health,⭐⭐,None,Range,Wellness,Standard spinal mobility flow.,Move through each vertebra.,https://www.youtube.com/watch?v=aySQTi4vyos&t=26100s,Gym,Basketball,Basketball
964,Bio: Dead Hang,Int,Shoulders/Grip,Med,3,60s,-,45s,Strength,⭐⭐⭐,None,Hold,Health,Hanging from a pull-up bar for time.,Decompresses the spine.,https://www.youtube.com/watch?v=aySQTi4vyos&t=26100s,Gym,Basketball,Basketball
1190,Bio: Foam Roll,Beg,None,Low,1,10 min,-,-,Recovery,⭐,Drill 943,Release,Wellness,Roll out your quads and hamstrings.,Hold on tight spots for 30 seconds.,https://www.youtube.com/watch?v=aySQTi4vyos&t=26000s,Gym,Basketball,Basketball
849,Bio: Nordic Curls,Elite,Hamstrings,Extreme,2,5,-,120s,Strength,⭐⭐⭐⭐⭐,None,Control,Elite,Lower chest to floor using only hams.,Do not arch the lower back.,https://www.youtube.com/watch?v=aySQTi4vyos&t=21600s,Gym,Basketball,Basketball
1188,Bio: Single Leg B,Int,Ankles/Core,Med,3,1 min,-,30s,Stability,⭐⭐⭐,None,No Wobble,Health,Balance on one leg while dribbling.,Keep the knee slightly bent.,https://www.youtube.com/watch?v=aySQTi4vyos&t=21800s,Gym,Basketball,Basketball
850,Bio: Single Leg RDL,Int,Glutes/Hams,Med,3,12,-,45s,Balance,⭐⭐⭐,None,No Wobble,Strength,One-leg deadlift with a basketball.,Keep hips square to the floor.,https://www.youtube.com/watch?v=aySQTi4vyos&t=21800s,Gym,Basketball,Basketball
1187,Bio: Tibialis R,Beg,Tibialis,Low,3,20,-,30s,Health,⭐⭐,Drill 1039,Burn,Health,"Lean against wall, pull toes to shins.",Protects against shin splints.,https://www.youtube.com/watch?v=aySQTi4vyos&t=21000s,Gym,Basketball,Basketball
848,Bio: Tibialis Raise,Beg,Tibialis,Low,3,20,-,30s,Health,⭐⭐,None,Burn,Strength,"Lean against wall, pull toes toward shins.",Protects against shin splints.,https://www.youtube.com/watch?v=aySQTi4vyos&t=21000s,Gym,Basketball,Basketball
965,Bio: World's Stretch,Int,Full Body,Med,3,10,-,45s,Health,⭐⭐⭐,None,Range,Wellness,"The ""World's Greatest Stretch"" sequence.",Rotate the chest toward the sky.,https://www.youtube.com/watch?v=aySQTi4vyos&t=26100s,Gym,Basketball,Basketball
674,Blindfold Figure-8,Elite,CNS/Feel,Extreme,2,30s,-,120s,Mastery,⭐⭐⭐⭐⭐,Drill 620,No Loss,Mastery,Stationary figure-8 while blindfolded.,Listen to the ball and feel the air.,https://www.youtube.com/watch?v=aySQTi4vyos&t=4920s,Gym,Basketball,Basketball
216,Bounce Pass (Stat),Beg,Triceps/Shoulder,Low,4,25,30s,20s,Accuracy,⭐,None,Target Hit,Snap,Strong bounce pass (2/3 distance) [03:46:00].,Pass below defender hands.,https://www.youtube.com/watch?v=aySQTi4vyos&t=13560s,Gym,Basketball,Basketball
426,Box Out (Free Throw),Beg,Glutes,Med,3,10,--,30s,Effort,⭐,None,Push Back,Rebound,Standard box out on a free throw.,Get low; use hips to move defender.,🎥,Gym,Basketball,Basketball
403,Box Out (Perimeter),Beg,Glutes,Med,3,15,--,45s,Effort,⭐,None,Hustle,Rebound %,Box out a guard after a perimeter shot.,Find man; make contact; pursue ball.,🎥,Gym,Basketball,Basketball
354,Box Out (Post),Beg,Glutes/Core,High,4,10,--,60s,Effort,⭐⭐,None,Rebound %,Physicality,Physical box out on the block.,Find man; hit; push back; get ball.,🎥,Gym,Basketball,Basketball
113,Box Slide Drill,Int,Glutes/Quads,Med,3,5,60s,45s,Agility,⭐⭐⭐,Drill 111,Fluidity,Speed,Slide around the paint boxes [04:47:30].,Keep hips square to the baseline.,https://www.youtube.com/watch?v=aySQTi4vyos&t=17250s,Gym,Basketball,Basketball
20,fast break: Across,Int,Core/Arms,Med,2,20,60s,30s,Passing Angles,⭐⭐,Drill 19,No Travel,Body Control,Stepping across the body to pass [07:03:18].,Step with left foot to pass right.,[07:03:30],Gym,Basketball,Basketball
59,fast break: Cross Body,Int,Core/Obliques,Med,3,15,60s,30s,Anticipation,⭐⭐⭐,Drill 58,Stretch,Power,Step across body to pass,Rotate torso fully,(https://www.youtube.com/watch?v=aySQTi4vyos&t=25410s),Gym,Basketball,Basketball
60,fast break: Front Pivot,Int,Glutes/Ankles,Med,3,12,45s,30s,Vision,⭐⭐⭐,Drill 41,Footwork,Clean Pivot,Step forward pivot into pass,Keep pivot foot planted,(https://www.youtube.com/watch?v=aySQTi4vyos&t=25476s),Gym,Basketball,Basketball
19,fast break: Outside,Beg,Arms/Back,Low,2,20,60s,30s,Fundamentals,⭐,None,Accuracy,Speed,Passing with outside hand/outside foot [07:02:45].,Step with the same side as passing hand.,[07:03:04],Gym,Basketball,Basketball
58,fast break: Strong Hand,Beg,Shoulders,Low,3,20,60s,30s,Fundamentals,⭐,None,Target Hit,95% Acc.,Outside hand outside foot pass,Step toward target,(https://www.youtube.com/watch?v=aySQTi4vyos&t=25384s),Gym,Basketball,Basketball
296,Bury the Defender,Beg,Glutes/Quads,Med,3,12,--,60s,Positioning,⭐⭐,None,Low Posture,Deep Seal,Bury the defender as close to rim as possible.,Push back; stay wide; high target.,🎥,Gym,Basketball,Basketball
369,Catch & Rip (High),Beg,Arms/Shoulders,Low,3,15,--,45s,Agility,⭐,None,Ball Security,Rip Speed,"Catch high, rip ball over head.",Keep ball above ears; quick move.,🎥,Gym,Basketball,Basketball
346,Catch & Shot (Post),Beg,Shoulders,Low,3,15,--,45s,Shooting,⭐,None,11/15 Made,14/15 Made,Direct catch and shoot from post.,No dip; high catch to high release.,🎥,Gym,Basketball,Basketball
11,Catch and Shoot,Beg,Shoulders/Triceps,Med,5,20,2min,60s,Shooting Form,⭐⭐,Proper Form,15/20,18/20,Receiving pass and shooting immediately [40:32].,"Hands ready, feet set to rim.",[40:32],Gym,Basketball,Basketball
496,Catch: 1-2 Step 3pt,Int,Quads,Med,4,15,60s,45s,Shooting,⭐⭐⭐,None,Timing,Accuracy,Catch into 1-2 step rhythm shot [04:11:00].,Inside foot always first.,https://www.youtube.com/watch?v=aySQTi4vyos&t=15060s,Gym,Basketball,Basketball
495,Catch: Drop-Step 3pt,Adv,CNS/Quads,High,3,12,60s,60s,Footwork,⭐⭐⭐⭐,None,Pivot Acc.,Accuracy,"Catch ball with back to rim, pivot 3 [04:10:00].",Snap the head around.,https://www.youtube.com/watch?v=aySQTi4vyos&t=15000s,Gym,Basketball,Basketball
497,Catch: Hop 3pt,Int,Calves/Core,Med,4,15,60s,45s,Shooting,⭐⭐⭐,None,Quickness,Accuracy,Catch into a hop rhythm shot [04:11:30].,Both feet hit at once.,https://www.youtube.com/watch?v=aySQTi4vyos&t=15090s,Gym,Basketball,Basketball
215,Chest Pass (Stat),Beg,Triceps/Shoulder,Low,4,25,30s,20s,Power,⭐,None,Snap,Target Hit,Strong chest pass to partner [03:45:00].,Thumbs down on follow-through.,https://www.youtube.com/watch?v=aySQTi4vyos&t=13500s,Gym,Basketball,Basketball
286,Chin Check Score,Beg,Full Body,Low,3,15,--,45s,Pace,⭐,None,Sequence,Patience,"Chin ball, check floor, then score.",Protect ball; see whole floor.,🎥,Gym,Basketball,Basketball
77,Circle (L Leg),Beg,Obliques,Med,3,15,30s,20s,Precision,⭐⭐,None,Consistency,Speed,Wrap ball around left leg in a circle.,Maintain a low stance.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3740s,Gym,Basketball,Basketball
76,Circle (R Leg),Beg,Obliques,Med,3,15,30s,20s,Precision,⭐⭐,None,Consistency,Speed,Wrap ball around right leg in a circle.,"Keep head up, don't look at ball.",https://www.youtube.com/watch?v=aySQTi4vyos&t=3740s,Gym,Basketball,Basketball
161,Circle Run (Ball),Int,Ankles/Hips,Med,3,10,45s,30s,Agility,⭐⭐⭐,None,No Slip,Speed,Run in circles while dribbling [02:38:00].,Lean into the turn.,https://www.youtube.com/watch?v=aySQTi4vyos&t=9480s,Gym,Basketball,Basketball
644,Circling the Wagon,Int,Ankles/CNS,Med,3,Length,60s,30s,Handles,⭐⭐⭐,None,Control,Speed,Dribble in tight circles around cones while moving.,Keep the ball below knee height.,https://www.youtube.com/watch?v=aySQTi4vyos&t=4800s,Gym,Basketball,Basketball
112,Closeout & Slide,Int,Quads/Hips,Med,4,10,45s,30s,Recovery,⭐⭐⭐,Drill 111,No Fly-by,Balance,"Sprint to closeout, then slide [04:46:20].","Short, choppy steps on arrival.",https://www.youtube.com/watch?v=aySQTi4vyos&t=17180s,Gym,Basketball,Basketball
194,Closeout: High Hand,Beg,Shoulders,Low,4,12,45s,30s,Contesting,⭐⭐,Drill 112,No Foul,Disturb,Closeout with hand in shooter's vision [04:46:25].,Don't leave your feet too early.,https://www.youtube.com/watch?v=aySQTi4vyos&t=17185s,Gym,Basketball,Basketball
843,Combine: 3/4 Sprint,Elite,Lungs/Quads,Extreme,3,1,-,120s,Testing,⭐⭐⭐⭐⭐,Drill 578,<3.3s,<3.1s,Sprint from baseline to far FT line.,"Low start, drive the arms.",https://www.youtube.com/watch?v=aySQTi4vyos&t=23100s,Gym,Basketball,Basketball
842,Combine: Lane Agility,Elite,Lungs/Glutes,Extreme,2,1,-,180s,Testing,⭐⭐⭐⭐⭐,Drill 576,<11.0s,<10.5s,Pro-style lane agility shuttle.,Don't cross your feet on slides.,https://www.youtube.com/watch?v=aySQTi4vyos&t=17335s,Gym,Basketball,Basketball
841,Combine: Max Vert,Elite,CNS/Quads,Extreme,1,3,-,180s,Testing,⭐⭐⭐⭐⭐,None,Height,Elite,Standard NBA combine vertical test.,Use a 2-step approach.,https://www.youtube.com/watch?v=aySQTi4vyos&t=21000s,Gym,Basketball,Basketball
844,Combine: Shuttle Run,Adv,Lungs/Hips,High,3,2,-,90s,Testing,⭐⭐⭐⭐,None,Speed,Stamina,5-10-5 yard lateral shuttle.,Touch the line with your hand.,https://www.youtube.com/watch?v=aySQTi4vyos&t=23200s,Gym,Basketball,Basketball
845,Combine: Wing Jumpers,Adv,Shoulders/Lungs,High,2,25,-,120s,Testing,⭐⭐⭐⭐,Drill 648,15 Makes,20 Makes,NBA combine perimeter shooting drill.,Maintain form under fatigue.,https://www.youtube.com/watch?v=aySQTi4vyos&t=13440s,Gym,Basketball,Basketball
158,Combo: Cross-Leg-Back,Adv,CNS/Wrist,High,3,10,60s,45s,Complexity,⭐⭐⭐⭐,Drill 82,Fluidity,Elite,"Cross, then leg, then back [02:35:30].","Stay low, don't rise up.",https://www.youtube.com/watch?v=aySQTi4vyos&t=9330s,Gym,Basketball,Basketball
557,Combo: Cross-Leg-Back-Sn,Adv,CNS,High,3,10,45s,45s,Handle,⭐⭐⭐⭐,Drill 158,Flow,Elite,Continuous 4-move combo with snatch [02:37:30].,Snap the snatch hard.,https://www.youtube.com/watch?v=aySQTi4vyos&t=9450s,Gym,Basketball,Basketball
157,Combo: In-Out-Cross,Int,Forearms,Med,4,12,60s,30s,Complexity,⭐⭐⭐,Drill 138,No Carry,Elite,Chain In-out then crossover [02:34:00].,Continuous motion.,https://www.youtube.com/watch?v=aySQTi4vyos&t=9240s,Gym,Basketball,Basketball
556,Combo: In-Out-Cross-Leg,Adv,CNS,High,3,10,45s,45s,Handle,⭐⭐⭐⭐,Drill 157,Flow,Elite,Continuous 4-move combo stationary [02:37:00].,Low and fast.,https://www.youtube.com/watch?v=aySQTi4vyos&t=9420s,Gym,Basketball,Basketball
159,Combo: In-Out-Leg,Adv,CNS/Wrist,High,3,10,60s,45s,Flow,⭐⭐⭐⭐,Drill 139,Smooth,Elite,In-out then between legs [02:36:00].,Tighten handle as you speed.,https://www.youtube.com/watch?v=aySQTi4vyos&t=9360s,Gym,Basketball,Basketball
160,Combo: Leg-Back-Cross,Adv,CNS/Wrist,High,3,10,60s,45s,Flow,⭐⭐⭐⭐,Drill 158,No Stop,Elite,"Between, back, then cross [02:36:30].",Change hand speeds.,https://www.youtube.com/watch?v=aySQTi4vyos&t=9390s,Gym,Basketball,Basketball
1172,Cond: 17s Shuttle,Elite,Lungs/Quads,Extreme,3,1,17s,120s,Stamina,⭐⭐⭐⭐⭐,Drill 1091,Finish,Elite,Baseline to baseline for 17 seconds.,Maintain speed on the turns.,https://www.youtube.com/watch?v=aySQTi4vyos&t=23400s,Gym,Basketball,Basketball
