#,Drill Name,Sport,Category,Focus,Reps,Sets,Dur,Setup,Space,Level,Phase,Metric,Path,Flight,Cue,Equipment,Proper Form,demo,Enviroment,Description,Type,Stars
23,Reverse Hand,Baseball and Softball,Hitting,Wrist Str,10,2,5m,1m,Cage,Adv,Impact,Wrist Snap,Level,Mid,"""Strong grip""",Heavy Training Bat,Bottom hand on top. Teaches lead hand how to lead.,Watch Demo,cages,Cross-handed grip to force the lead arm to do the work.,Mechanics,⭐⭐⭐⭐
6,One-Handed,Baseball and Softball,Hitting,Barrel Ctrl,10,2,5m,1m,10x10,Beg,Finish,Hand Spd,Acc,LD,"""Top hand""","Short Bat, Tee",Isolate lead hand (pull) and back hand (push) with a short bat.,Watch Demo,field,"Isolate individual arm movements to find ""pull"" and ""push"" paths.",Isolation,⭐⭐⭐⭐
18,Launch Angle,Baseball and Softball,Hitting,Fly Ball %,10,4,15m,3m,Field,Adv,Finish,Launch $\angle$,Up,Deep,"""Lift""","Bat, Launch Screen",Hit the bottom-center of the ball to create 15–25° backspin.,Watch Demo,field,Focus on ball exit trajectory.,Analytics,⭐⭐⭐⭐
34,Bucket Drill,Baseball and Softball,Hitting,Stability,10,3,10m,1m,Cage,Int,Stride,Width,Level,LD,"""Stay wide""","Bat, Empty Bucket",Sit on a bucket. Swing using only upper body rotation.,Watch Demo,cages,Seated swing to remove the legs and isolate the core.,Isolation,⭐⭐⭐
5,Front Toss,Baseball and Softball,Hitting,Recognition,10,5,15m,3m,Cage,Adv,Swing,Launch $\angle$,Adj,LD,"""Be on time""","Bat, L-Screen, Balls",Tossed from 15ft behind a screen. Timing the load is key.,Watch Demo,cages,Underhand toss from behind a screen to simulate live pitching.,Timing,⭐⭐⭐⭐⭐
3,Stop @ Impact,Baseball and Softball,Hitting,Contact Point,10,2,6m,1m,10x10,Adv,Impact,Barrel Spd,Sq,N/A,"""Firm front""","Bat, Tee, Mirror",Swing at 100% speed but freeze the bat perfectly at contact.,Watch Demo,field,Swing at full speed but halt all movement at the point of contact.,Strength,⭐⭐⭐⭐⭐
9,Low Tee,Baseball and Softball,Hitting,Hip Hinge,10,3,5m,1m,10x10,Beg,Launch,Attack $\angle$,Up,Fly,"""Get under""","Bat, Adj. Tee",Set at bottom of zone. Stay in your legs and maintain spine angle.,Watch Demo,field,Practice staying low on pitches at the bottom of the strike zone.,Mechanics,⭐⭐⭐
20,Curveball,Baseball,Hitting,Tracking,10,4,20m,10m,Cage,Adv,Decision,Whiff %,Adj,All,"""Stay back""","Bat, Pitch. Machine","Wait for the ball to ""travel"" deeper into the zone.",Watch Demo,cages,Training the eyes to recognize spin and wait for movement.,Vision,⭐⭐⭐⭐⭐
16,PVC Pipe,Baseball and Softball,Hitting,Staying Inside,10,3,10m,1m,Any,Int,Launch,Path Len,In-Out,LD,"""Inside out""","Bat, PVC Pipe",Very light tool used to feel hip/hand sequencing.,Watch Demo,field,Using a weightless tool to emphasize kinetic sequencing.,Sequencing,⭐⭐⭐⭐
27,Behind Back,Baseball and Softball,Hitting,Barrel Turn,10,3,10m,1m,Cage,Adv,Launch,Early Con,Up,Pull,"""Turn it""","Bat, Tee",Hold bat behind back with elbows and rotate through the ball.,Watch Demo,cages,Holding bat across the low back to isolate the hips.,Hips,⭐⭐⭐
33,Knob to Ball,Baseball and Softball,Hitting,Directness,15,3,8m,1m,Cage,Beg,Launch,Efficiency,Linear,GB,"""Knob first""","Bat, Tee",Lead with the knob to keep hands inside and avoid arm-barring.,Watch Demo,cages,"Direct hand path drill to stop ""casting"" or long swings.",Mechanics,⭐⭐⭐⭐
21,Fence Drill,Baseball and Softball,Hitting,Short to Ball,15,3,5m,1m,Fence,Beg,Launch,Barrel Gap,Linear,N/A,"""Clear hands""","Bat, Fence",Stand bat-length from fence. Swing without hitting the fence.,Watch Demo,field,Swing path check by standing close to a fence.,Path,⭐⭐⭐
10,In/Out Tees,Baseball and Softball,Hitting,Extension,10,4,10m,2m,Cage,Int,Impact,Exit Velo,Gap,In/Out,"""Pull/Push""","Bat, 2 Tees","Two tees. Practice ""out front"" (inside) vs ""deep"" (outside).",Watch Demo,cages,Two-tee setup to practice directional hitting.,Directional,⭐⭐⭐⭐
4,Walk-Through,Baseball and Softball,Hitting,Momentum,12,3,10m,1m,15x15,Int,Stride,Exit Velo,Linear,Pull,"""Let it fly""","Bat, Tee, Net",Step through with the back foot to build linear momentum.,Watch Demo,field,"Linear movement drill to help players who ""leak"" power.",Power,⭐⭐⭐⭐
11,Happy Gilmore,Baseball and Softball,Hitting,Ground Force,8,3,12m,1m,Field,Adv,Load,Exit Velo,Linear,Pull,"""Step/Fire""","Bat, Net, Balls",Large crow-hop into the swing for maximum lower-half power.,Watch Demo,field,Crow-hop movement to find maximum lower-half load.,Power,⭐⭐⭐⭐
25,Med Ball Toss,Baseball and Softball,Hitting,Core Rot,10,3,12m,2m,Field,Adv,Load,Throw Dist,Rot,N/A,"""Explode""",Medicine Ball,Throw a med ball against a wall using hitting rotation.,Watch Demo,field,Throwing medicine balls to build rotational torque.,Strength,⭐⭐⭐⭐⭐
19,Softball Rise,Softball,Hitting,High Pitch,12,3,10m,2m,Cage,Adv,Launch,Pop-up %,Flat,High,"""Stay above""","Bat, High Tee",Focus on a high-to-low hand path to stay on top of the rise.,Watch Demo,cages,Specific drill to combat the rise ball's upward trajectory.,Specificity,⭐⭐⭐⭐
12,Bunting Focus,Baseball and Softball,Hitting,Ball Control,5,5,10m,2m,Field,Beg,Contact,Placement,Down,GB,"""Catch ball""","Bat, Balls",Eyes at barrel level. Keep fingers behind the barrel.,Watch Demo,field,Fundamental bunting mechanics.,Situational,⭐⭐⭐
29,Weighted Bat,Baseball and Softball,Hitting,Hand Speed,10,3,10m,1m,Cage,Adv,Launch,Swing Spd,Level,All,"""Fast hands""",Weighted Bat/Donut,"Focus on speed, not just ""muscle."" Don't let weight drag hands.",Watch Demo,cages,Overload training to build forearm and core strength.,Strength,⭐⭐⭐⭐
32,Reaction Toss,Baseball and Softball,Hitting,Fast Twitch,15,3,10m,2m,Cage,Adv,Launch,Reaction,Short,Cent,"""React!""","Bat, Balls","Toss two balls; caller picks ""top"" or ""bottom"" mid-flight.",Watch Demo,cages,Two balls tossed; hitter reacts to a verbal cue.,Cognition,⭐⭐⭐⭐⭐
7,Weighted Ball,Baseball and Softball,Hitting,Power,8,3,10m,2m,Field,Adv,Power,Compression,Down,Ltd,"""Drive thru""","Bat, Plyo Balls","Use plyo balls. Requires ""firm"" contact to avoid bat recoil.",Watch Demo,field,Using heavy plyo balls to ensure through-contact.,Strength,⭐⭐⭐⭐⭐
1,High Tee,Baseball and Softball,Hitting,Top Hand,10,3,5m,1m,10x10,Beg,Launch,Attack $\angle$,Flat,LD,"""Stay on top""","Bat, Tee, Net","Set tee at chest height. Keep hands above the ball; avoid ""dipping.""",Watch Demo,field,Practice hitting the top-zone pitch to prevent pop-ups.,Mechanics,⭐⭐⭐
2,Soft Toss,Baseball and Softball,Hitting,Timing,15,4,8m,2m,Cage,Int,Load,Contact %,Plane,All,"""See seams""","Bat, Partner, Balls",Partner tosses from 45°. Keep head still and hands short to the ball.,Watch Demo,cages,Close-range side toss to work on hand-eye coordination.,Timing,⭐⭐⭐⭐⭐
39,Machine Speed,Baseball and Softball,Hitting,Timing,8,4,20m,10m,Cage,Adv,Decision,On-Time %,Level,All,"""Start early""","Bat, Machine",Set 5mph above game speed to train reaction time.,Watch Demo,cages,High-velocity training for reaction time.,Reaction,⭐⭐⭐⭐⭐
15,Colored Ball,Baseball and Softball,Hitting,Brain Proc,12,4,15m,3m,Cage,Adv,Decision,Correct %,Adj,LD,"""Call color""","Bat, Color Balls",Call out the ball color before hitting to increase focus.,Watch Demo,cages,Visual tracking drill using numbered or colored balls.,Vision,⭐⭐⭐⭐⭐
30,Whiffle Ball,Baseball and Softball,Hitting,Tracking,15,4,15m,2m,Yard,Beg,Impact,Contact %,Level,All,"""Track holes""","Bat, Whiffle Balls",Tracking movement without the fatigue of a heavy ball.,Watch Demo,cages,High-repetition tracking without fatigue.,Vision,⭐⭐⭐
8,Mirror Drill,Baseball and Softball,Hitting,Form,5,3,5m,0m,Any,Beg,Stance,Posture,N/A,N/A,"""Check form""","Bat, Full Mirror",Swing in front of a mirror to check head movement and path.,Watch Demo,field,Visual feedback drill to check posture and bat path.,Visual,⭐⭐⭐
38,Shadow Swing,Baseball and Softball,Hitting,Form,20,3,5m,0m,Any,Beg,Full,Rhythm,Level,N/A,"""Smooth""","Bat, Sunlight","No ball. Focus on the ""whoosh"" sound at the contact point.",Watch Demo,field,Dry swings used to map out the swing path without a ball.,Path,⭐⭐⭐
