Exercise Name,Level,Primary Muscle,sport,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Equipment,Spring Tension,Description,Proper Form Key Points,Direct Demo Link Path,Type,Enviroment
The Hundred,Int,Transverse Abs,pilates,High,1,100,2 min,60s,Endurance,⭐⭐⭐⭐⭐,Chest Lift,Stamina,VO2 Max Prep,Mat,N/A,Arm pumps at 45°.,"5 breaths in, 5 out.",https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
Roll Up,Int,Rectus Abdominis,pilates,Med,2,8,2 min,45s,Articulation,⭐⭐⭐⭐⭐,Chest Lift,Spine Flex,Power Transfer,Mat,N/A,Lying to sitting reach.,Reach through heels; no momentum.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Mat,Mat
Roll Over,Adv,Lower Abs/Spine,pilates,High,2,5,1.5 min,60s,Spinal Power,⭐⭐⭐⭐⭐,Roll Up,Flexibility,Explosive Core,Mat,N/A,Legs reach overhead.,Lift with abs; don't roll on neck.,https://www.youtube.com/watch?v=yssUvNuQowE,Mat,Mat
Criss Cross,Int,Obliques,pilates,Med,3,10/s,2 min,45s,Rotation,⭐⭐⭐⭐⭐,Chest Lift,Rotational Power,Torque,Mat,N/A,Armpit to opposite knee.,"Rotate from ribs, not elbows.",https://www.youtube.com/watch?v=a2L7tfx8XbU,Mat,Mat
Teaser I,Adv,Full Powerhouse,pilates,High,3,5,2 min,60s,Power,⭐⭐⭐⭐⭐,Roll Up,Balance,Elite Stability,Mat,N/A,V-shape balance roll.,"Balance on the ""sweet spot.""",https://www.youtube.com/watch?v=SRonJI25raE,Mat,Mat
Leg Pull Front,Adv,Shoulder/Core,pilates,High,3,10,1 min,45s,Total Body,⭐⭐⭐⭐⭐,Plank,Stability,Force Load,Mat,N/A,Plank with leg lifts.,Hips stay square to the floor.,https://www.youtube.com/watch?v=W0-vP6T_S80,Mat,Mat
Side Bend,Adv,Obliques/Lat,pilates,High,2,5/s,2 min,60s,Lateral Strength,⭐⭐⭐⭐⭐,Side Plank,Chain Strength,Lateral Agility,Mat,N/A,"Hip ""rainbow"" lift.",Lift bottom waist; stable shoulder.,https://www.youtube.com/watch?v=dL9ZzqtQIy4,Mat,Mat
Swan Dive,Adv,Erector Spinae,pilates,High,2,5,1 min,60s,Back Strength,⭐⭐⭐⭐⭐,Swan Prep,Extension,Post. Chain,Mat,N/A,Prone rocking.,Long spine; don't crunch back.,https://www.youtube.com/watch?v=rbmAtnN0fW0,Mat,Mat
Forearm Plank,Beg,Full Core,pilates,Med,3,1,45s,45s,Stability,⭐⭐⭐⭐⭐,None,Bracing,Duration,Mat,N/A,Elbow/toe iso hold.,Straight line from head to heels.,https://www.youtube.com/watch?v=W0-vP6T_S80,Mat,Mat
Mountain Climber,Int,Core/Shoulders,pilates,Med,3,12/s,1 min,30s,Stability,⭐⭐⭐⭐,Plank,Control,Hip Mobility,Mat,N/A,Slow knee to chest.,Back flat; do not bounce hips.,https://www.youtube.com/watch?v=W0-vP6T_S80,Mat,Mat
Hollow Body,Int,Deep Abs,pilates,Med,3,1,30s,45s,Endurance,⭐⭐⭐⭐⭐,Dead Bug,Static Strength,Tension Hold,Mat,N/A,Limbs hover at 6 in.,Lower back glued to the floor.,https://www.youtube.com/watch?v=482UfR7T-K0,Mat,Mat
Bird-Dog,Beg,Spinal Stabilizers,pilates,Low,3,10/s,2 min,30s,Balance,⭐⭐⭐⭐⭐,None,Back Health,Symmetry,Mat,N/A,Opp. arm/leg extension.,Glass of water on back; don't spill.,https://www.youtube.com/watch?v=-LRjkbEy-qU,Mat,Mat
Footwork (4 Pos),Beg,Quads/Glutes,pilates,Low,1,40,3 min,30s,Foundation,⭐⭐⭐,None,Alignment,Leg Power,Reformer,3-4 Red,"Toes, Arches, Heels, Tendon Stretch.",Neutral pelvis; heels glued together.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
The Hundred,Int,Transverse Abs,pilates,High,1,100,2 min,45s,Circulation,⭐⭐⭐⭐⭐,Footwork,Stamina,VO2 Max,Reformer,2 Red,Vigorously pump arms; legs at eye level.,Curl from ribs; low back anchored.,https://www.youtube.com/watch?v=lJA8vu02egg,Reformer,Reformer
Overhead,Adv,Lower Abs,pilates,High,1,5,2 min,60s,Articulation,⭐⭐⭐⭐⭐,Roll Over,Mobility,Verticality,Reformer,2 Red,"Legs reach over head, lift to ceiling.",Use core to lift; don't roll on neck.,https://www.youtube.com/watch?v=5phCQPKcK8Q,Reformer,Reformer
Coordination,Int,Deep Abs/Arms,pilates,Med,1,8,1.5 min,45s,Rhythm,⭐⭐⭐⭐,Hundred,Focus,Coordination,Reformer,2 Red,"Reach limbs, open/close, bend, return.",Head/shoulders stay lifted.,https://www.youtube.com/watch?v=5phCQPKcK8Q,Reformer,Reformer
Rowing (1-2),Int,Rear Delts/Lats,pilates,Med,2,8,2 min,45s,Posture,⭐⭐⭐⭐,Sitting Tall,Posture,Pull Strength,Reformer,1 Red,Into Sternum & 90° angles.,Sit tall on sit-bones; move from back.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
Rowing (3-6),Int,Chest/Shoulders,pilates,Med,2,8,2 min,45s,ROM,⭐⭐⭐⭐,Rowing 1-2,Mobility,Full Range,Reformer,1 Blue,"Chest, Hips, Shaving, Hug.",Initiate move from scapula.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
Swan (Long Box),Int,Erectors,pilates,Med,1,5,1.5 min,45s,Extension,⭐⭐⭐⭐⭐,Prone Press,Extension,Post. Chain,Long Box,1 Red,Prone on box; press out and lift.,Reach crown away from toes.,https://www.youtube.com/watch?v=rbmAtnN0fW0,Reformer,Reformer
Pull Straps,Int,Lats/Triceps,pilates,Low,1,8,1 min,30s,Back Strength,⭐⭐⭐⭐,Swan,Posture,Shoulder Stab,Long Box,1 Red,Pull straps back toward hips.,Keep chest wide; eyes on mat.,https://www.youtube.com/watch?v=rbmAtnN0fW0,Reformer,Reformer
T (Long Box),Int,Rhomboids,pilates,Med,1,8,1 min,30s,Scapular Stab,⭐⭐⭐⭐,Pull Straps,Posture,Pull Power,Long Box,1 Blue,Pull straps to side in 'T' shape.,Don't let shoulders hike to ears.,https://www.youtube.com/watch?v=rbmAtnN0fW0,Reformer,Reformer
Backstroke,Adv,Core/Coord,pilates,High,1,8,2 min,60s,Stability,⭐⭐⭐⭐⭐,Coordination,Control,Core Synch,Long Box,2 Blue,Lie on box; circle arms and legs.,Maintain imprint on the box.,https://www.youtube.com/watch?v=qApaVgmeq-Y,Reformer,Reformer
Teaser (Box),Adv,Full Powerhouse,pilates,High,1,5,1.5 min,60s,Balance,⭐⭐⭐⭐⭐,Mat Teaser,Power,Proprioception,Long Box,1 Red,V-sit balance on the box.,Roll up and down with control.,https://www.youtube.com/watch?v=SRonJI25raE,Reformer,Reformer
Breaststroke,Adv,Extensors,pilates,High,1,5,1.5 min,60s,Integration,⭐⭐⭐⭐⭐,Swan,Extension,Dynamic Power,Long Box,1 Red,Swimming motion on the box.,Don't crunch the lower back.,https://www.youtube.com/watch?v=gqQA1c67e4M,Reformer,Reformer
Short Box Round,Beg,Deep Abs,pilates,Low,1,10,1.5 min,30s,Flexion,⭐⭐⭐⭐,Mat Roll Up,Bracing,Low Ab Strength,Short Box,All Spr.,Round back; scoop belly over strap.,Keep feet hooked firmly.,https://www.youtube.com/watch?v=DIlkX0r1ZC4,Reformer,Reformer
Short Box Flat,Int,Psoas/Abs,pilates,Med,1,8,1.5 min,45s,Eccentric,⭐⭐⭐⭐⭐,Box Round,Stability,Trunk Control,Short Box,All Spr.,Hinge back with a flat spine.,"Move from hips, not waist.",https://www.youtube.com/watch?v=DIlkX0r1ZC4,Reformer,Reformer
Short Box Side,Int,Obliques,pilates,Med,1,8/s,2 min,45s,Lateral,⭐⭐⭐⭐⭐,Box Flat,Side Power,Lateral Agility,Short Box,All Spr.,Lateral flexion over the side.,Keep both sit-bones on box.,https://www.youtube.com/watch?v=DIlkX0r1ZC4,Reformer,Reformer
Short Box Twist,Adv,Obliques,pilates,High,1,5/s,2 min,60s,Rotation,⭐⭐⭐⭐⭐,Box Side,Torque,Rotational Hub,Short Box,All Spr.,Twist and hinge back.,Rotate from the base of ribs.,https://www.youtube.com/watch?v=DIlkX0r1ZC4,Reformer,Reformer
Climb a Tree,Int,Hamstrings/Abs,pilates,Med,1,3/s,3 min,45s,Flexibility,⭐⭐⭐⭐⭐,Box Round,ROM,Active Stretch,Short Box,All Spr.,Walk hands up/down one leg.,Square hips; lift through spine.,https://www.youtube.com/watch?v=SRonJI25raE,Reformer,Reformer
Long Stretch,Int,Serratus/Core,pilates,High,1,8,1.5 min,45s,Stability,⭐⭐⭐⭐⭐,Plank,Stability,Force Transfer,Reformer,1 Red/1 Blue,Plank; press carriage out/in.,Straight line from head to heel.,https://www.youtube.com/watch?v=W0-vP6T_S80,Reformer,Reformer
Down Stretch,Int,Hip Flexors,pilates,Med,1,8,1 min,45s,Extension,⭐⭐⭐⭐,Long Stretch,Flexibility,Front Chain,Reformer,1 Red/1 Blue,Kneeling plank; press chest out.,Open heart; don't sink in back.,https://www.youtube.com/watch?v=rbmAtnN0fW0,Reformer,Reformer
Up Stretch,Adv,Core/Shoulder,pilates,High,1,8,1.5 min,60s,Flow,⭐⭐⭐⭐⭐,Down Stretch,Control,Shoulder Stab,Reformer,1 Red/1 Blue,Pike to Plank transition.,Lift hips using lower abs.,https://www.youtube.com/watch?v=yssUvNuQowE,Reformer,Reformer
Elephant,Beg,Lower Abs,pilates,Low,1,10,1 min,30s,Integration,⭐⭐⭐⭐,None,Mobility,Core Bracing,Reformer,2 Red,Flat back; pull carriage in with abs.,Lift toes; scoop the belly.,https://www.youtube.com/watch?v=A8f9eFjC_wU,Reformer,Reformer
Long Back Str.,Adv,Triceps/Abs,pilates,High,1,8,1.5 min,60s,Power,⭐⭐⭐⭐⭐,Elephant,Arm Power,Full Chain,Reformer,1 Red/1 Blue,Dips on the footbar.,Lift hips high; push from arms.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
Stomach Massage Rd,Beg,Lower Abs,pilates,Low,1,10,1.5 min,30s,Digestion,⭐⭐⭐,Footwork,Posture,Recovery,Reformer,2 Red/1 Blue,Seated carriage press (round).,Lift ribs away from hips.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
Stomach Massage Hnd,Int,Back Strength,pilates,Med,1,10,1.5 min,45s,Posture,⭐⭐⭐⭐,Massage Rd,Extension,Spinal Health,Reformer,2 Red,Seated press (Hands back).,Open chest; stay tall.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
Stomach Massage Rch,Adv,Core Balance,pilates,High,1,8,1 min,60s,Balance,⭐⭐⭐⭐⭐,Massage Hnd,Control,Static Power,Reformer,2 Red,Seated press (Arms up).,No sinking in the lower back.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
Tendon Stretch,Adv,Deep Abs,pilates,High,1,10,1.5 min,60s,Power,⭐⭐⭐⭐⭐,Elephant,Explosive,Vertical Force,Reformer,2 Red,Hands on bar; lift hips to pull in.,Scoop belly toward the spine.,https://www.youtube.com/watch?v=yssUvNuQowE,Reformer,Reformer
Short Spine,Int,Spinal Mobility,pilates,Med,1,8,2 min,45s,Massage,⭐⭐⭐⭐⭐,Overhead,Flexibility,Recovery,Reformer,2 Red,Legs circle; lift hips; roll down.,Don't hit the stopper.,https://www.youtube.com/watch?v=5phCQPKcK8Q,Reformer,Reformer
Semi Circle,Adv,Articulation,pilates,High,1,8,2 min,60s,Flow,⭐⭐⭐⭐⭐,Short Spine,Mobility,Wave Motion,Reformer,2 Red,Drop through springs; circle out.,Chest open; knees hip-width.,https://www.youtube.com/watch?v=yssUvNuQowE,Reformer,Reformer
Snake,Adv,Obliques/Total,pilates,High,1,5/s,2 min,60s,Integration,⭐⭐⭐⭐⭐,Long Stretch,Mastery,Elite Control,Reformer,1 Red/1 Blue,Side plank rotation/lift.,Push carriage with legs.,https://www.youtube.com/watch?v=W0-vP6T_S80,Reformer,Reformer
Twist,Adv,Obliques,pilates,High,1,5/s,2 min,60s,Rotation,⭐⭐⭐⭐⭐,Snake,Torque,Rotational Force,Reformer,1 Red/1 Blue,Rotating lift from Snake.,Stabilize the bottom shoulder.,https://www.youtube.com/watch?v=dL9ZzqtQIy4,Reformer,Reformer
Corkscrew,Int,Obliques,pilates,Med,1,5/s,1.5 min,45s,Torque,⭐⭐⭐⭐,Short Spine,Stability,Pelvic Health,Reformer,2 Red,Circling legs in straps.,Shoulders flat on mat.,https://www.youtube.com/watch?v=yssUvNuQowE,Reformer,Reformer
Long Spine,Adv,Articulation,pilates,High,1,5,2 min,60s,Full Chain,⭐⭐⭐⭐⭐,Short Spine,Range,Mastery,Reformer,1 Red/1 Blue,Wide leg circles in straps; roll.,Reach through heels at top.,https://www.youtube.com/watch?v=5phCQPKcK8Q,Reformer,Reformer
Knee Stretch Rd,Beg,Lower Abs,pilates,Low,1,10,1 min,30s,Pelvic Stab,⭐⭐⭐,None,Alignment,Foundation,Reformer,2 Red,Kneeling; press carriage (round).,Upper body perfectly still.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
Knee Stretch Arc,Int,Glutes,pilates,Med,1,10,1 min,45s,Post. Chain,⭐⭐⭐⭐,Knee Str. Rd,Extension,Glute Power,Reformer,2 Red,Kneeling; press carriage (arched).,Drive out with the glutes.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
Knee Stretch Off,Adv,Core Endurance,pilates,High,1,10,1 min,60s,Stability,⭐⭐⭐⭐⭐,Knee Str. Arc,Bracing,Force Load,Reformer,2 Red,Knees 1 inch off carriage; press.,"Maintain the ""hover"" height.",https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
Running,Beg,Calves/Ankles,pilates,Low,1,20,1 min,30s,Mobility,⭐⭐⭐,Footwork,Ankle Health,Fast Twitch,Reformer,2-3 Red,Prancing on the footbar.,Reach heel under the bar.,https://www.youtube.com/watch?v=vthMCtgVtFw,Reformer,Reformer
