#,Env.,Category,Exercise Name,Detailed Description,Sets,Reps/Dist.,HS Goals,College Goals,Stars
36,Field,Between Legs,Continuous Between,Rapid-fire through the legs.,3,30 sec,Figure-8 path; chest up.,Machine consistency; no look.,⭐⭐⭐
37,Field,Between Legs,Boxer/Shuffle Feet,Moving feet while going through legs.,3,20m,Consistent foot speed.,Feet move 3x faster than ball.,⭐⭐⭐
38,Field,Between Legs,Forward Lunge (R),Lunge while dribbling through.,4,10 reps,Shin parallel to floor.,Thigh below parallel; explosive.,⭐⭐⭐
39,Field,Between Legs,Forward Lunge (L),Lunge while dribbling through.,4,10 reps,Back knee 1 inch off floor.,Stabilize instantly post-cross.,⭐⭐⭐
40,Field,Between Legs,Side Jab (R),Lateral lunge with through-the-legs.,4,10 reps,Jab covers 2ft wide.,Jab covers 4ft+; ankle tilt.,⭐⭐⭐
41,Field,Between Legs,Side Jab (L),Lateral lunge with through-the-legs.,4,10 reps,Weight on inside of foot.,100% weight shift to jab leg.,⭐⭐⭐
42,Field,Between Legs,Walking Backward,Retreating through-the-legs.,3,15m,15m in < 10s.,15m in < 7s; zero fumbles.,⭐⭐
43,Field,Between Legs,Outside-In (Reverse),Wrapping ball from outside the leg in.,3,15 reps,Catch ball behind the leg.,Seamless transition to drive.,⭐⭐⭐⭐
44,Field,On the Move,Inside Out (R),One-hand fake on the move.,4,15m,Shoulder dip sells the fake.,Explode 10ft in 2 steps after move.,⭐⭐⭐
45,Field,On the Move,Inside Out (L),One-hand fake on the move.,4,15m,Ball stays in pocket during fake.,"Footwork syncs with ball ""hang"".",⭐⭐⭐
46,Field,On the Move,Retreat Inside Out,Step-back in-out for separation.,4,20m,Create 4ft of space.,Create 8ft+ with one slide-step.,⭐⭐⭐⭐
47,Field,On the Move,Under Leg Stop,Hard deceleration through the legs.,4,10 reps,Stop within 2 steps of move.,"Immediate ""dead-stop"" on 1 step.",⭐⭐⭐⭐
48,Field,Behind Back,Sharp Behind (R to L),Quick wrap behind the glutes.,4,15 reps,Ball stays below glutes.,Snap ball through in < 0.2s.,⭐⭐⭐
49,Field,Behind Back,Sharp Behind (L to R),Quick wrap behind the glutes.,4,15 reps,Core remains rigid.,Minimal upper body movement.,⭐⭐⭐
50,Field,Behind Back,Wrap Behind (R to L),Long arm wrap around the back.,4,10 reps,Ball wraps to opposite hip.,Ball to front pocket; 20mph+.,⭐⭐⭐
51,Field,Behind Back,Wrap Behind (L to R),Long arm wrap around the back.,4,10 reps,Full arm extension.,Extreme torque generation.,⭐⭐⭐
52,Field,Fakes,Side/Float Dribble (R),Hesitation move while moving lateral.,4,15m,"""Hang"" the ball for 0.5s.","""Hang"" for 1.0s; active feet.",⭐⭐⭐
53,Field,Fakes,Side/Float Dribble (L),Hesitation move while moving lateral.,4,15m,Move 3ft laterally in float.,Move 5ft+; stay in triple threat.,⭐⭐⭐
54,Field,Fakes,Rip & Drive (R),Violent ball sweep into a sprint.,5,10m,10m in < 1.9s.,10m in < 1.65s.,⭐⭐⭐⭐
55,Field,Fakes,Rip & Drive (L),Violent ball sweep into a sprint.,5,10m,Ball below knees on rip.,Shoulder to defender's hip level.,⭐⭐⭐⭐
56,Field,Post-Up,Spin to Post (R Drive),Driving spin into a post seal.,4,8 reps,"Pivot foot ""nailed"" down.",360° spin in < 0.8s.,⭐⭐⭐
57,Field,Post-Up,Spin to Post (L Drive),Driving spin into a post seal.,4,8 reps,Use off-arm to shield.,Explode to rim in one dribble.,⭐⭐⭐
58,Field,Transition,Stutter Step (R Hand),High-frequency foot fire.,4,20m,3 steps per meter.,"5+ steps/meter; ""chatter"" noise.",⭐⭐⭐
59,Field,Transition,Stutter Step (L Hand),High-frequency foot fire.,4,20m,Hips drop on stutter.,Immediate acceleration out.,⭐⭐⭐
60,Field,Transition,Delayed Between Legs,Change of pace through the legs.,4,20m,"Sell ""stop"" before the move.",Pace: 100% -> 20% -> 100%.,⭐⭐⭐⭐
61,Field,Slide Series,Slide & Drive,Defensive slide into offensive burst.,4,15m,3 slides + 5m drive in < 4s.,3 slides + 5m drive in < 3s.,⭐⭐⭐
62,Field,Slide Series,Slide-Crossover,Crossover coming out of a slide.,4,15m,"Zero ""bobble"" on the cross.",Cross happens mid-air in slide.,⭐⭐⭐
63,Field,Slide Series,Slide-Between Legs,Between the legs out of a slide.,4,15m,"Ball ""hidden"" behind leg.",Shift hips 180° during move.,⭐⭐⭐
64,Field,Slide Series,Behind-Slide-Behind,Lateral movement with wraps.,4,15m,Rhythm: Wrap-Slide-Wrap.,Constant lateral momentum.,⭐⭐⭐⭐
65,Field,Slide Series,Slide-Inside Out,In-out move out of a slide.,4,15m,Head fake opposite to drive.,Shift defender 3ft with slide.,⭐⭐⭐
66,Field,Slide Series,Slide-Double Move,Combo move out of lateral slide.,4,15m,Quickness over distance.,< 0.8s for the double move.,⭐⭐⭐⭐
67,Field,Float Series,Between Legs Float,Floating laterally while going through legs.,3,20m,"""Float"" covers 4ft laterally.","""Float"" covers 6ft+; land balanced.",⭐⭐⭐
68,Field,Float Series,Behind Back Float,Floating laterally while wrapping.,3,20m,"Eyes remain on ""rim.""","Ball ""hangs"" until feet land.",⭐⭐⭐
69,Field,Jab Series,Opposite Foot Jab,Foot jab across the body.,4,10 reps,Full extension of jab leg.,Snap back to center in < 0.3s.,⭐⭐⭐
70,Field,Jab Series,Same Foot/Hand Jab,"Direct, quick jab on the same side.",4,10 reps,"Short, twitchy 12-inch jab.",Suddenness: 0.1s contact.,⭐⭐
71,Field,Jab Series,Side Jab (No Move),Jab without any dribble change.,4,10 reps,Move ball opposite to jab.,Shift torso 6 inches off-center.,⭐⭐
72,Field,Jab Series,Cross-Opposite Jab,Crossover into a counter jab.,4,10 reps,No pause between moves.,Sequence completed in < 0.9s.,⭐⭐⭐⭐
73,Field,Jab Series,Between-Opposite Jab,Through the legs into counter jab.,4,10 reps,Dribble stays low and tight.,Explode off jab into 5m sprint.,⭐⭐⭐⭐
74,Field,Jab Series,Behind-Opposite Jab,Behind the back into counter jab.,4,10 reps,Wrap and jab simultaneously.,Elite coordination; no visual cues.,⭐⭐⭐⭐
75,Field,Jab Series,Inside Out Jab,In-out into a heavy foot jab.,4,10 reps,Heavy foot stomp on jab.,Stomp audible from 20ft.,⭐⭐⭐⭐
76,Field,Stop Series,Same Foot/Hand Stop,Sudden halt on the same side.,5,10 reps,"0.5s ""Freeze"" on stop.",Stop from 100% in 1 step.,⭐⭐⭐
77,Field,Stop Series,Opposite Foot Stop,Sudden halt on the opposite side.,5,10 reps,Hips sink low on impact.,Absorb force; no forward lean.,⭐⭐⭐
78,Field,Stop Series,Behind the Back Stop,Sprint into a wrap-around stop.,5,10 reps,Stop + Wrap in one motion.,Create 5ft separation on stop.,⭐⭐⭐⭐
79,Field,Stop Series,Under Leg Stop,Sprint into a through-the-legs stop.,5,10 reps,Split stance; 90/90 legs.,Immediate shot-ready posture.,⭐⭐⭐⭐
80,Field,Stop Series,Half Turn Stop,Spin stop to shield the ball.,5,10 reps,Spin 180°; land on two feet.,Shield ball with back on stop.,⭐⭐⭐
81,Field,Retreats,Hip Swivel,Quick 180° rotation to retreat.,4,10 reps,Fluid 180° hip rotation.,Swivel + Cross in < 0.5s.,⭐⭐⭐
82,Field,Retreats,Sprint Back (L Pivot),Retreating after a drive.,4,15m,3 slides cover 15m.,2 explosive slides cover 15m.,⭐⭐⭐
83,Field,Retreats,Sprint Back (R Pivot),Retreating after a drive.,4,15m,Ball protected by body.,15m retreat in < 2.5s.,⭐⭐⭐
84,Field,Retreats,Ball Screen Retreat,Spacing move away from a screen.,4,15m,Look over shoulder; eyes up.,Change angles 3x in retreat.,⭐⭐⭐
85,Field,Retreats,Double Move Retreat,Combo move while retreating.,4,20m,Cross-Between-Retreat.,Elite pace; slow to fast.,⭐⭐⭐⭐
86,Field,Retreats,Drive & Relocate,"Drive, stop, and sprint to new spot.",4,20m,Sprint to corner in < 3.0s.,Sprint to corner in < 2.6s.,⭐⭐⭐⭐
87,Field,Twitchy,Shoulder Rock Walk,Walking with deceptive upper body.,3,20m,Rock shoulders 10x per 20m.,Extreme deception; head fakes.,⭐⭐⭐
88,Field,Twitchy,Slide-Twitch,Lateral slide with a hesitation beat.,3,20m,Hesitation lasts 0.5s.,"""Dead"" leg fake; instant burst.",⭐⭐⭐⭐
89,Field,Twitchy,Between-Cross Twitch,"Tight, rapid-fire combos.",3,15m,3 combos per 5m.,5+ combos per 5m; max speed.,⭐⭐⭐⭐
90,Field,Drop Series,Drop-Between Legs,Dropping into a split stance through legs.,4,12 reps,Drop hips 6 inches.,Drop hips 12 inches; explosive.,⭐⭐⭐⭐
91,Field,Drop Series,Drop-Crossover,Dropping into a split with a cross.,4,12 reps,"Wide ""split"" base on drop.",Feet 1.5x shoulder width.,⭐⭐⭐⭐
92,Field,Drop Series,Push Out Cross,Drop into a long-reach cross.,4,10 reps,5m burst in < 1.3s.,5m burst in < 1.0s.,⭐⭐⭐⭐
93,Field,Spin Series,Basic Driving Spin,Standard offensive spin move.,5,8 reps,"Ball stays ""glued"" to hand.",Finish spin + layup in < 1.5s.,⭐⭐⭐
94,Field,Spin Series,Baseline Spin,Spin specifically on the baseline.,5,8 reps,Tight turn; stay in bounds.,Use rim as shield on finish.,⭐⭐⭐⭐
95,Field,Spin Series,Crossover-Spin,Crossover directly into a spin.,4,8 reps,No extra dribble between.,Double move in < 1.0s.,⭐⭐⭐⭐
96,Field,Spin Series,Between Legs-Spin,Through the legs directly into a spin.,4,8 reps,Low center of gravity.,Explode 90° off the spin.,⭐⭐⭐⭐
97,Field,Spin Series,Behind Back-Spin,Behind the back directly into a spin.,4,8 reps,High coordination required.,"""Wrap"" into spin; zero friction.",⭐⭐⭐⭐
98,Field,Spin Series,Half-Spin Fake,"Sell the spin, then return.",4,10 reps,Sell spin with shoulders.,180° fake; snap back.,⭐⭐⭐
99,Field,Spin Series,Combo Half-Spin,Half-spin into a secondary move.,4,8 reps,Half-spin to Crossover.,< 0.8s for fake + move.,⭐⭐⭐⭐
100,Field,Stat Drill,4 Sets of 2 (V-Dribble),High-volume wide V-dribbles.,4,2 mins,No fumbles for 2 mins.,180+ dribbles per minute.,⭐⭐
101,Field,Stat Drill,4 Sets of 2 (Cross),High-volume crossover repetitions.,4,2 mins,Consistent height.,160+ crosses per minute.,⭐⭐
102,Field,Stat Drill,4 Sets of 2 (In-Out),High-volume in-out repetitions.,4,2 mins,Active off-arm shielding.,Max shoulder rotation speed.,⭐⭐
103,Field,Stat Drill,4 Sets of 2 (Behind),High-volume behind-back reps.,4,2 mins,Chest up; vision forward.,140+ behind-backs per minute.,⭐⭐
104,Field,Stat Drill,Front Extensions,Reaching ball far in front.,3,20 reps,Reach 3ft in front.,Reach 4.5ft+; full extension.,⭐⭐⭐
105,Field,Stat Drill,Side Extensions,Reaching ball far to the side.,3,20 reps,Reach 3ft to the side.,Reach 4ft+; ball hits floor.,⭐⭐⭐
106,Field,Stat Drill,Over the Knee,In-out dribble over the knee cap.,3,30 reps,Dribble over the patella.,Finger-roll speed; no palms.,⭐⭐⭐
107,Field,Stat Drill,Up & Back,Pushing ball forward and back.,3,30 reps,2ft travel distance.,3.5ft+ travel; violent push.,⭐⭐
108,Field,Stat Drill,Around Leg Circle,Wrapping ball around one leg.,3,15 ea.,Circle in < 1.0s.,"Circle in < 0.6s; ""blur"".",⭐⭐⭐
109,Field,Stat Drill,High to Low Speeds,Varying dribble speed/height.,3,1 min,3 distinct speed gears.,Seamless gear shifts every 5s.,⭐⭐⭐
111,Gym,Knee Dom.,Power Clean,Barbell explosive pull to shoulders.,4,3 reps,1.0x Bodyweight (BW).,1.35x BW; < 0.3s pull time.,⭐⭐⭐⭐⭐
112,Gym,Knee Dom.,Snatch,Barbell floor-to-overhead.,3,2 reps,0.7x BW.,1.0x BW; elite stability.,⭐⭐⭐⭐⭐
113,Gym,Knee Dom.,Back Squat,Absolute lower body strength.,4,5 reps,1.3x BW.,1.8x BW; full depth.,⭐⭐⭐⭐⭐
114,Gym,Knee Dom.,Front Squat,Anterior chain and core focus.,3,6 reps,1.0x BW.,1.4x BW; vertical torso.,⭐⭐⭐⭐
115,Gym,Hip Dom.,Nordic Curls,Hamstring eccentric lowering.,3,8 reps,3s eccentric control.,5s eccentric / unassisted.,⭐⭐⭐⭐
116,Gym,Knee Dom.,Single-Leg Squats,Unilateral leg strength and balance.,3,8 ea.,Depth to parallel.,Weighted (25lb+) to depth.,⭐⭐⭐
117,Gym,Knee Dom.,Bulgarian Split Squat,Rear-foot elevated split squat.,3,10 ea.,0.5x BW added load.,1.0x BW added load.,⭐⭐⭐⭐
118,Gym,Knee Dom.,Skater Squats,Lateral stability squat to knee touch.,3,10 ea.,Controlled knee touch.,Weighted (20lb); no hands.,⭐⭐⭐
119,Gym,Hip Dom.,RDL (Single/Double),Hinging for posterior power.,4,8 reps,1.0x BW Barbell.,1.5x BW Barbell; 1s pause.,⭐⭐⭐
120,Gym,Hip Dom.,Hip Thrusts,Glute-specific horizontal force.,4,10 reps,1.5x BW.,2.5x BW; 2s isometric.,⭐⭐⭐⭐
121,Gym,Functional,Box Jumps,Vertical explosive power.,5,3 reps,"28"" - 32"" Box.","40"" - 46"" Box; land soft.",⭐⭐⭐
122,Gym,Functional,Med-Ball Throws,Explosive rotational or overhead.,4,5 reps,10lb Ball / 15m.,12lb Ball / 22m+ (overhead).,⭐⭐⭐
123,Gym,Functional,Farmer Carries,Grip and core pillar strength.,3,40m,0.6x BW per hand.,1.0x BW per hand / 40s.,⭐⭐⭐
124,Gym,Lower Leg,Calf/Tibialis Raises,Lower leg durability and force.,3,15 reps,20 reps BW.,Weighted (45lb) / 3s tempo.,⭐⭐
125,Gym,Core,Hanging Knee Raises,Deep abdominal and hip strength.,3,15 reps,Toes to 90°.,Toes to bar; zero swing.,⭐⭐⭐
126,Gym,Core,Plank Holds,Isometric torso stability.,3,60 sec,Perfect hollow-body.,Weighted (45lb) for 90s.,⭐⭐
