#,Environment,Category,Exercise Name,Equipment / Focus,Sets,Reps/Dist.,Primary Focus,Fitness Stars
49,Weight Room,Pull,Shrugs,Barbell/DB,3,12 reps,Trap Development,⭐⭐
50,Weight Room,Arms,Barbell Bicep Curls,Barbell,3,10 reps,Bicep Hypertrophy,⭐⭐
51,Weight Room,Arms,Hammer Curls,Dumbbells,3,12 reps,Brachialis/Forearm,⭐⭐
52,Weight Room,Arms,Preacher Curls,EZ-Bar/Bench,3,10 reps,Peak Bicep Focus,⭐⭐
53,Weight Room,Arms,Concentration Curls,Dumbbell,3,12 reps,Isolated Arm Work,⭐⭐
54,Weight Room,Arms,Reverse Grip Curls,Barbell/EZ-Bar,3,12 reps,Wrist/Extensor Strength,⭐⭐
55,Weight Room,Arms,Tricep Pushdowns,Cable Machine,3,12 reps,Lateral Tricep Head,⭐⭐
56,Weight Room,Arms,Skull Crushers,EZ-Bar/DBs,3,10 reps,Long Head Tricep,⭐⭐⭐
57,Weight Room,Arms,Overhead Tricep Ext.,DB/Cable,3,12 reps,Tricep Stretch/Force,⭐⭐
58,Weight Room,Lower Leg,Standing Calf Raise,Machine/DB,3,15 reps,Plantar Flexion,⭐⭐
59,Weight Room,Lower Leg,Tibialis Raises,KB/Bodyweight,3,20 reps,Ankle Stability,⭐⭐
60,Weight Room,Core,Hanging Leg Raises,Pull-Up Bar,3,12 reps,Lower Ab Power,⭐⭐⭐
61,Weight Room,Core,Cable Woodchoppers,Cable Machine,3,12 ea.,Rotational Torque,⭐⭐⭐
62,Weight Room,Core,Pallof Press,Cable/Band,3,10 ea.,Anti-Rotation,⭐⭐⭐
63,Weight Room,Functional,Kettlebell Swings,Kettlebell,4,15 reps,Hinge Explosiveness,⭐⭐⭐
64,Weight Room,Functional,Farmer Carries,Heavy DBs,3,40m,Grip & Pillar Strength,⭐⭐⭐
