number,Category,Exercise Name,Description,Enviroment,CNS,Sets,Reps,Time,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,demo,Equipment,sport,Exercise Name,Description,Proper Form
11,Throws,3/4 Sway,Tilt lower body/Shoulder dip throw.,Field,Med,3,10r,--,Off-Platform,⭐⭐⭐,None,Accurate run,Max speed acc.,Watch Demo,Glove/ Ball,sofrball/ baseball,3/4 Sway,Tilt lower body/Shoulder dip throw.,Lower arm slot by tilting the torso. Useful for throwing under or around runners.
12,Throws,Dart Throws,Elbow and finger snap only.,Field,Low,3,20r,--,Fast Exchange,⭐⭐,None,Zero wind-up,Effortless touch,Watch Demo,Glove/ Ball,sofrball/ baseball,Dart Throws,Elbow and finger snap only.,No arm circle. Use purely the forearm and fingers for extremely close-range plays.
13,Running,Straight,Maintaining a linear line on run.,Field,High,5,30m,<4s,Linear Speed,⭐⭐⭐⭐,None,Sub-3.0s H-1st,Sub-2.8s H-1st,Watch Demo,Glove/ Ball,sofrball/ baseball,Straight,Maintaining linear line on run.,"Track ball in a straight line; avoid ""drifting"" or ""curving"" toward the hop."
14,Running,Glove Side,Pursuit angle toward glove side.,Field,High,4,20m,<5s,Lat. Efficiency,⭐⭐⭐,https://www.google.com/search?q=%2313,Sub-4.5s Shut.,Sub-4.2s Shut.,Watch Demo,Glove/ Ball,sofrball/ baseball,Glove Side,Pursuit angle toward glove side.,Round the ball to get your momentum moving back toward the target (first base).
15,Running,Backhand,Crossover to reach backhand side.,Field,High,4,20m,<5s,Cross-Reach,⭐⭐⭐,https://www.google.com/search?q=%2314,Secure catch,Full dive secure,Watch Demo,Glove/ Ball,sofrball/ baseball,Backhand,Crossover to reach backhand side.,"Lead with glove foot, stay low, and keep your nose behind the glove."
16,Flips,Backhand Flip,Wrist flick; minimal arm motion.,Field,Low,3,15r,--,Touch/Feel,⭐⭐⭐,None,Accurate @ 10ft,Effortless flick,Watch Demo,Glove/ Ball,sofrball/ baseball,Backhand Flip,Wrist flick; minimal arm motion.,Back of the hand faces target. Flick the wrist without a full arm swing.
17,Flips,Forehand Flip,"Stiff wrist, palm to target; flat.",Field,Low,3,15r,--,Consistency,⭐⭐,None,"No ""rainbow""",Sub-0.5s flip,Watch Demo,Glove/ Ball,sofrball/ baseball,Forehand Flip,"Stiff wrist, palm to target; flat.","Follow ball toward target with palm open. Do not ""hook"" or roll the wrist."
18,Flips,Shovel Pass,Underhand toss using stiff palm.,Field,Low,3,10r,--,Under-Ball,⭐⭐,None,Accurate weight,Lead in stride,Watch Demo,Glove/ Ball,sofrball/ baseball,Shovel Pass,Underhand toss using stiff palm.,Stay low and use a bowling motion. Release the ball out front for better accuracy.
19,Flips,Glove Flip,Flick ball directly out of glove.,Field,Med,4,12r,--,Reaction,⭐⭐⭐,https://www.google.com/search?q=%2316,100% catch,Fore/Back Master,Watch Demo,Glove/ Ball,sofrball/ baseball,Glove Flip,Flick ball directly out of glove.,Keep hand outside the glove. Use the pocket's tension to propel the ball.
20,Grounders,Straight On,Right-left gather; funnel to chest.,Field,Low,4,15r,--,Fund. Rhythm,⭐⭐,None,10/10 Clean,Fluidity,Watch Demo,Glove/ Ball,sofrball/ baseball,Straight On,Right-left gather; funnel to chest.,"Field ball out front. Bring it to the ""midline"" (chest) before separating hands."
21,Grounders,Forehand,Lead with glove; attack the hop.,Field,Med,4,12r,--,Attacking,⭐⭐⭐,https://www.google.com/search?q=%2320,Play the hop,Sub-2.0s Play,Watch Demo,Glove/ Ball,sofrball/ baseball,Forehand,Lead with glove; attack the hop.,"Don't wait for the ball. Lead with glove and ""push"" through the hop to the chest."
22,Grounders,Backhand,Thumb down; staying low/deep.,Field,Med,4,12r,--,Staying Low,⭐⭐⭐,https://www.google.com/search?q=%2321,Stay in base,Full speed pick,Watch Demo,Glove/ Ball,sofrball/ baseball,Short Hop,Pick ball immediately after dirt.,"Keep wrist soft. Push glove ""through"" the ball right as it leaves the ground."
23,Grounders,Short Hop,Pick ball immediately after dirt.,Field,High,5,10r,--,Timing,⭐⭐⭐⭐,None,8/10 clean,10/10 clean,Watch Demo,Glove/ Ball,sofrball/ baseball,Slide Dives,Dropping to slide to stop ball.,"Lead with glove, slide on outer thigh. Keep bare hand ready to cover the ball."
24,Grounders,Slide Dives,Dropping to slide to stop ball.,Field,High,3,6r,--,Emergency,⭐⭐⭐⭐⭐,None,Stop the ball,Throw from knee,Watch Demo,Glove/ Ball,sofrball/ baseball,Tripod,Bare hand down; eyes behind glove.,Use bare hand on ground for balance. Get eyes as close to the glove as possible.
25,Grounders,Tripod,Bare hand down; eyes behind glove.,Field,Low,3,10r,--,Stability,⭐⭐,None,Eye at glove,Instant trans.,Watch Demo,Glove/ Ball,sofrball/ baseball,Routine Fly,Glove foot forward; catch back.,Catch ball over throwing shoulder to transition into the throw immediately.
26,Outfield,Routine Fly,Glove foot forward; catch back.,Field,Low,3,10r,--,High-Point,⭐⭐,None,Secure catch,Pro-tracking,Watch Demo,Glove/ Ball,sofrball/ baseball,Drop Step (R),Point toe; no false steps deep.,First move is directional. Push off the front foot and open the hip toward the ball.
27,Outfield,Drop Step (R),Point toe; no false steps deep.,Field,Med,4,8ea,--,Deep Coverage,⭐⭐⭐,None,Point toe,Zero false step,Watch Demo,Glove/ Ball,sofrball/ baseball,Running Catch,Tracking over-shoulder at stride.,"Run to a spot, look back at the last second. Catch at full stride without jumping."
28,Outfield,Running Catch,Tracking over-shoulder at stride.,Field,High,4,10r,--,Tracking Speed,⭐⭐⭐⭐,https://www.google.com/search?q=%2327,Shoulder align,Elite traject.,Watch Demo,Glove/ Ball,sofrball/ baseball,Lateral Cross,Crossover running catch to gap.,Explosive first step crossover. Maintain a low center of gravity while accelerating.
29,Outfield,Lateral Cross,Crossover running catch to gap.,Field,Med,4,10r,--,Sideways Range,⭐⭐⭐,None,No wasted step,Speed pursuit,Watch Demo,Glove/ Ball,sofrball/ baseball,Sliding Catch,Bent leg slide or full extension.,"Tuck one leg under, extend the other. Reach for ball at the ""highest"" point of the slide."
30,Outfield,Sliding Catch,Bent leg slide or full extension.,Field,High,3,5r,--,Maximal Effort,⭐⭐⭐⭐⭐,None,Secure ball,Pop up throw,Watch Demo,Glove/ Ball,sofrball/ baseball,Fence Work,Feel fence; track/climb/leap.,Use non-glove hand to find fence to gauge distance; track ball at its apex.
31,Outfield,Fence Work,Feel fence; track/climb/leap.,Field,Med,3,6r,--,Spatial Aware,⭐⭐⭐⭐,None,Feel fence,Climb/Leap,Watch Demo,Glove/ Ball,sofrball/ baseball,Pop-ups,Vertical orientation; tracking.,"Use ""bill of the cap"" to shield sun. Circle under the ball and catch high."
32,Catcher,Pop-ups,Vertical orientation; tracking.,Field,Med,3,8r,--,Vertical Or.,⭐⭐⭐,None,Spin control,Track in wind,Watch Demo,Glove/ Ball,sofrball/ baseball,Pickoffs,Instep down; explosive pop.,Pivot hard on back foot instep. Get feet set before the hands separate to throw.
33,Catcher,Pickoffs,Instep down; explosive pop.,Field,High,4,8r,--,Explosive Pop,⭐⭐⭐⭐,https://www.google.com/search?q=%2310,Sub-2.0s Pop,Sub-1.8s Pop,Watch Demo,Glove/ Ball,sofrball/ baseball,Blocking,Shifting body to center dirt ball.,"Drop to both knees, tuck chin, and ""surround"" ball with chest. Knees out wide."
34,Catcher,Blocking,Shifting body to center dirt ball.,Field,Elite,5,10r,--,Reaction,⭐⭐⭐⭐⭐,None,Dead ball,Center 100%,Watch Demo,Glove/ Ball,sofrball/ baseball,Power Clean,Barbell; explosive pull to rack.,"Drive through heels. Explode hips and ""catch"" bar on shoulders in front rack."
35,Weight Room,Power Clean,Barbell; explosive pull to rack.,w-room,Elite,5,3r,--,Triple Ext.,⭐⭐⭐⭐⭐,https://www.google.com/search?q=%2337,0.75x BW,1.1x BW,Watch Demo,bar or dumbbells,sofrball/ baseball,Snatch,Floor to overhead one motion.,Wide grip. Explode from floor and punch the bar toward the ceiling in one move.
36,Weight Room,Snatch,Floor to overhead one motion.,w-room,Elite,4,2r,--,Rate of Force,⭐⭐⭐⭐⭐,https://www.google.com/search?q=%2335,0.5x BW,0.8x BW,Watch Demo,bar or dumbbells,sofrball/ baseball,Back Squat,Barbell; hips below parallel.,Keep chest up and weight on mid-foot. Drive knees out as you descend.
37,Weight Room,Back Squat,Barbell; hips below parallel.,w-room,Elite,5,5r,--,Absolute Force,⭐⭐⭐⭐⭐,None,1.0x BW (5r),1.5x BW (5r),Watch Demo,bar or dumbbells,sofrball/ baseball,Front Squat,Upright torso; front rack.,Bar sits on deltoids. Keep elbows high to prevent the bar from rolling forward.
38,Weight Room,Front Squat,Upright torso; barbell front rack.,w-room,High,4,6r,--,Core/Quad,⭐⭐⭐⭐,https://www.google.com/search?q=%2337,Upright torso,1.25x BW,Watch Demo,bar or dumbbells,sofrball/ baseball,Nordic Curls,Eccentric focus; slow descent.,Hips locked in extension. Lower torso as slowly as possible using hamstrings.
39,Weight Room,Nordic Curls,Eccentric focus; slow descent.,w-room,High,3,8r,--,Injury Prev.,⭐⭐⭐⭐,None,3s descent,5s / Unassist,Watch Demo,bar or dumbbells,sofrball/ baseball,Single-Leg Sq,Unilateral squat for stability.,Keep hips level and front knee tracked over toe. Control the descent.
40,Weight Room,Single-Leg Sq,Unilateral squat for stability.,w-room,Med,3,8ea,--,Unilat Balance,⭐⭐⭐,None,Thigh parallel,Weighted 20lb,Watch Demo,bar or dumbbells,sofrball/ baseball,Bulgarian SS,Rear foot elevated split squat.,"Chest up, back foot on bench. Drive straight up through the front heel."
41,Weight Room,Bulgarian SS,Rear foot elevated split squat.,w-room,High,3,10r,--,Single-Leg Pwr,⭐⭐⭐,None,0.5x BW load,1.0x BW load,Watch Demo,bar or dumbbells,sofrball/ baseball,Skater Squats,Single-leg; rear knee to floor.,Lean slightly forward for balance. Touch back knee to floor softly.
42,Weight Room,Skater Squats,Single-leg; rear knee to floor.,w-room,Med,3,8r,--,Lat. Stability,⭐⭐⭐,None,Clean touch,Weighted / 5s,Watch Demo,bar or dumbbells,sofrball/ baseball,RDL,Hinge at hips; target post. chain.,"Flat back. Lower weights until a stretch is felt in hamstrings, then squeeze glutes."
43,Weight Room,RDL,Hinge at hips; target post. chain.,w-room,Med,4,10r,--,Hinge Mech,⭐⭐⭐,None,Flat back,1.5x BW,Watch Demo,bar or dumbbells,sofrball/ baseball,Hip Thrusts,Weighted bridge for glute force.,Bench at mid-back. Drive hips to ceiling; pause and squeeze at the top.
44,Weight Room,Hip Thrusts,Weighted bridge for glute force.,w-room,High,4,10r,--,Horiz. Force,⭐⭐⭐⭐,None,1.5x BW,2.5x BW,Watch Demo,bar or dumbbells,sofrball/ baseball,Box Jumps,Jump high; land soft.,"Land in a quarter-squat with ""quiet"" feet. Stand up fully to complete rep."
45,Weight Room,Box Jumps,Jump onto high box; land soft.,w-room,High,5,3r,--,Elastic Power,⭐⭐⭐,None,"24"" Box","32"" Box",Watch Demo,bar or dumbbells,sofrball/ baseball,Med-Ball Throw,Explosive rotational/overhead.,Use hips to generate power. Release with full arm extension and follow-through.
46,Weight Room,Med-Ball Throw,Explosive rotational/overhead.,w-room,Med,4,5r,--,Rotational Pwr,⭐⭐⭐,None,10lb / 15m,12lb / 20m,Watch Demo,bar or dumbbells,sofrball/ baseball,Farmer Carry,Heavy walk; neutral spine.,"Shoulders back and down. Take short, fast steps while keeping core braced."
47,Weight Room,Farmer Carry,Heavy walk; maintain neutral spine.,w-room,Med,3,40m,<60s,Total Stability,⭐⭐⭐,None,0.5x BW/Hand,0.8x BW/Hand,Watch Demo,bar or dumbbells,sofrball/ baseball,Calf/Tibialis,Lower leg isolation; durability.,Full range of motion. Slow eccentric (lowering) to build tendon strength.
48,Weight Room,Calf/Tibialis,Lower leg isolation; durability.,w-room,Low,3,20r,--,Ankle Health,⭐⭐,None,20 Reps BW,Weighted ISO,Watch Demo,bar or dumbbells,sofrball/ baseball,Plank Holds,Isometric hold; flat torso.,Squeeze glutes and core. Do not let lower back sag or hips rise too high.
50,Weight Room,Plank Holds,Isometric hold; flat torso.,w-room,Low,3,--,60s,Core Stability,⭐⭐,None,60s Flat,Weighted 45lb,Watch Demo,bar or dumbbells,sofrball/ baseball,Receiving,Quiet hands; framing strike zone.,"Catch ball and ""hold."" Work ball toward center of zone with minimal movement."
51,Skill,Receiving,Quiet hands; framing strike zone.,Field,Low,5,20r,--,Framing,⭐⭐,None,Soft hands,Elite framing,Watch Demo,Glove/ Ball,sofrball/ baseball,Over R/L Sh.,Tag for throws over shoulders.,Turn thumb down or up based on ball height. Stay low and sweep toward the bag.
52,Tagging,Over R-Should,Tag for throws over right shoulder.,Field,Low,3,10r,--,Tag Quickness,⭐,None,Quick tag,No contact,Watch Demo,Glove/ Ball,sofrball/ baseball,Wrap Around,Sweep/wrap tag mechanics.,Let the runner's momentum provide the force. Wrap the glove around the leg.
53,Tagging,Over L-Should,Tag for throws over left shoulder.,Field,Low,3,10r,--,Tag Quickness,⭐,None,Quick tag,Blind tag feel,Watch Demo,Glove/ Ball,sofrball/ baseball,Drop And Up,Block base; apply tag.,Drop knee to block runner's path to the bag. Apply tag and immediately stand.
54,Tagging,Wrap Around,Sweep/wrap tag mechanics.,Field,Med,3,10r,--,Tag Control,⭐⭐,None,Secure tag,Sweep tech,Watch Demo,Glove/ Ball,sofrball/ baseball,Sweep Tag,Maximal reach lateral tag.,"Reach as far as possible, tag lead foot, and pull glove back to avoid a kick."
55,Tagging,Drop And Up,Block base; apply tag.,Field,Med,3,10r,--,Tag Strength,⭐⭐,None,Block base,Avoid slide,,Glove/ Ball,sofrball/ baseball,,,
56,Tagging,Sweep Tag,Maximal reach lateral tag.,Field,High,4,8r,--,Range,⭐⭐⭐,None,Full reach,Fast snap tag,,Glove/ Ball,sofrball/ baseball,Would you like me to create a personalized training schedule using these exercises to help you prepare for your next season?,,
56,Tagging,Sweep Tag,Maximal reach lateral tag.,Field,High,4,8r,--,Extension Range,⭐⭐⭐,None,Full reach,Fast snap tag,,Glove/ Ball,sofrball/ baseball,,,
