Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,Demo,env
35,Floor Press,Inter,Chest,Low,3,12,--,60s,Lockout,⭐,Bench Press,Tri Power,Bench Assist,Targets the top half of the press.,Lie on floor; lower until elbows touch; press.,🎥,w_room
36,Incline Row,Inter,Back,Med,3,12,--,60s,Strict Pulling,⭐⭐,DB Row,No Cheat,Lat Isolation,Chest-supported back isolation.,Lie chest-down on incline; pull weights.,🎥,w_room
37,Step Up,Beg,Quads,Med,3,10ea,--,60s,Unilat. Power,⭐⭐,Lunge,Balance,Leg Drive,Functional lower body movement.,Step on box; drive through heel to lift.,🎥,w_room
38,Incline Hammer,Inter,Biceps,Low,3,12,--,45s,Stretch/Width,⭐⭐,Hammer Curl,Brachialis,Detail,Combination of stretch and neutral grip.,Seated on incline; use neutral grip to curl.,🎥,w_room
39,Standing Press,Inter,Shoulders,High,4,8,--,60s,Core Stability,⭐⭐⭐,Sh. Press,Bracing,Strict Power,Pure vertical pressing strength.,Perform shoulder press while standing.,🎥,w_room
40,Side Bend,Beg,Abs,Low,3,15ea,--,30s,Obliques,⭐,None,Core Balance,Lateral Str,Direct oblique isolation.,Lean to side with DB; pull back with obliques.,🎥,w_room
41,Stiff Legged DL,Inter,Hamstrings,High,3,12,--,60s,Ham. Tension,⭐⭐⭐,RDL,Flexibility,Ham. Size,Maximum tension on the hamstrings.,Legs straight; hinge until stretch; stand.,🎥,w_room
42,Dumbbell Clean,Adv,Hamstrings,Max,5,5,--,120s,Explosiveness,⭐⭐⭐,RDL,Power,Triple Ext.,Full-body explosive pull.,Explode from squat; catch at shoulders.,🎥,w_room
43,Hip Thrust,Inter,Glutes,Med,4,12,1s Hold,90s,Glute Power,⭐⭐⭐,Bridge,Hip Snap,Force Prod.,Peak glute isolation.,Back against bench; weight on hips; drive up.,🎥,w_room
44,Bulgarian Split,Adv,Quads,High,4,8ea,--,90s,Elite Unilat.,⭐⭐⭐,Lunge,Hip Strength,Quad Detail,Advanced unilateral leg development.,Back foot on bench; squat with front leg.,🎥,w_room
45,Goblet Squat,Beg,Quads,Low,3,15,--,45s,Squat Pattern,⭐,None,Depth,Mobility,Teaches proper squat mechanics.,Hold DB at chest; squat; elbows inside knees.,🎥,w_room
46,Glute Bridge,Beg,Glutes,Low,3,15,2s Hold,45s,Glute Active,⭐,None,Activation,Posterior Str,Floor-based glute isolation.,Lie on back; weight on hips; lift toward ceiling.,🎥,w_room
47,Wide Curls,Beg,Biceps,Low,3,12,--,45s,Short Head,⭐,Bicep Curl,Bicep Width,Detail,Targets the inner head of the bicep.,Curl with arms flared out to the sides.,🎥,w_room
48,Lat to Front,Inter,Shoulders,Med,3,12,--,60s,Coordination,⭐⭐,Lat. Raise,Sh. Endurance,Control,Multi-planar shoulder movement.,Lateral raise; move to front; lower.,🎥,w_room
49,Alt. Bench,Inter,Chest,Med,3,10ea,--,60s,Stab./Tension,⭐⭐,Bench Press,Coordination,Time under T.,One arm stays up while other presses.,Hold both up; lower/press one at a time.,🎥,w_room
50,Zottman Curl,Inter,Biceps,Low,3,12,--,45s,Forearm/Bi,⭐⭐,Bicep Curl,Grip Strength,Brachiorad.,Total arm development.,Curl palms up; rotate palms down to lower.,🎥,w_room
51,Seated Rear Delt,Beg,Shoulders,Low,3,15,--,30s,Post. Health,⭐,None,Posture,Scap. Control,Isolated rear deltoid work.,Sit at edge of bench; lean forward; fly.,🎥,w_room
52,Incl Squeeze Pr,Inter,Chest,Med,3,10,--,60s,Upper Inner,⭐⭐,Squeeze Press,Upper Pec,Definition,Upper chest tension focus.,Incline bench; press weights together.,🎥,w_room
53,Waiter Curls,Beg,Biceps,Low,3,12,--,45s,Peak Tension,⭐,Bicep Curl,Bracing,Bicep Shape,Focuses on the bicep peak.,Hold DB palms up under top plate; curl.,🎥,w_room
54,Wrist Curl (Up),Beg,Forearms,Low,3,20,--,30s,Flexor Str,⭐,None,Grip,Forearm Size,Direct inner forearm isolation.,Forearms on thighs; palms up; curl wrists up.,🎥,w_room
55,Decline Bench,Inter,Chest,Med,3,10,--,60s,Lower Pec,⭐⭐,Bench Press,Lower Pec Def,Press Power,Targets lower pectoral fibers.,Bench at downward angle; press weights.,🎥,w_room
56,Single DB Sumo,Beg,Quads,Low,3,15,--,60s,Glute/Leg,⭐,Sumo Squat,Mobility,Leg Volume,Heavy single-weight leg work.,Hold DB by end between legs; wide squat.,🎥,w_room
57,Iron Cross,Adv,Shoulders,High,3,8,--,90s,Static Strength,⭐⭐⭐,Lateral Raise,Isometric Str,Elite Control,Extreme shoulder/leg stability.,Hold weights at side/shoulder height; squat.,🎥,w_room
58,Wrist Curl (Dn),Beg,Forearms,Low,3,20,--,30s,Extensor Str,⭐,None,Grip Health,Forearm Shape,Direct outer forearm isolation.,Forearms on thighs; palms down; curl up.,🎥,w_room
59,Reverse Curl,Beg,Biceps,Low,3,12,--,45s,Brachialis,⭐,Bicep Curl,Forearm Size,Grip,Overhand bicep curl.,Stand; palms-down grip; curl to shoulders.,🎥,w_room
60,Around Worlds,Inter,Chest,Low,3,12,--,45s,Mobility/Pec,⭐,None,Sh. Health,Pec Stretch,Chest mobility and pectoral work.,Move weights in arc from hips to overhead.,🎥,w_room
