Enviroment,#,Exercise,Detailed Description,Sets,Reps/Dist.,Primary Focus,Stars,High School Goals (Time/Dist.),College Goals (Time/Dist.),sport,Proper Form,type,Equipment Needed,Demo
track,16,Low-Speed Wickets,Running over mini-hurdles (~80% speed).,4,10 wickets,Stride Mechanics,⭐⭐⭐,1.6m – 1.8m spacing.,1.9m – 2.1m spacing.,Track,Maintain vertical torso; landing should be light and directly under the body.,Drills,6-10 Mini-Hurdles,https://www.youtube.com/watch?v=f_Vp_7I6C2M
track,17,Speed Skips (H),Skipping for maximum height.,3,20m,Vertical Power,⭐⭐⭐,Clear 2.5ft height/skip.,Clear 3.5ft+ height/skip.,Track,Drive the lead knee up powerfully; punch the opposite arm toward the sky.,Drills,None,https://www.youtube.com/watch?v=oeuKRVdhxXQ
track,18,Speed Skips (D),Skipping for maximum distance.,3,30m,Horizontal Power,⭐⭐⭐,Cover 30m in 12-14 skips.,Cover 30m in < 10 skips.,Track,"Push off the ground at a 45-degree angle; maximize ""hang time"" in each skip.",Drills,None,https://www.youtube.com/watch?v=7v2mNfC5y6M
track,19,Wall Drive Accels,"45° lean, rapid high-knee drives.",5,10 sec,Acceleration Angle,⭐⭐⭐,Maintain 45° angle.,Piston frequency > 4Hz.,Track,Straight line from head to heel; drive knee to chest; maintain a rigid core.,Drills,Wall or Fence,https://www.youtube.com/watch?v=W3o3r14pX4I
track,20,Hill Sprints (S),"Short, steep uphill sprints.",6-8,20m,Drive Phase Power,⭐⭐⭐⭐,Sub 4.3s (15% grade).,Sub 3.9s (15% grade).,Track,"Focus on ""pushing the ground away""; aggressive arm drive; lean into the hill.",Drills,Steep Hill (10-20m),https://www.youtube.com/watch?v=2n5r7p-E_m0
track,21,Falling Starts,"Lean forward until ""falling"" into sprint.",5,15m,Weight Distribution,⭐⭐⭐,10m split: 1.95s – 2.10s.,10m split: 1.75s – 1.85s.,Track,Do not bend at the waist; keep the body stiff like a board until the first step.,Drills,Open Track/Field,https://www.youtube.com/watch?v=6TSzxhP7SZo
track,22,3-Point Starts,"One hand on ground, drive out.",5-6,20-30m,Explosive Exit,⭐⭐⭐⭐,10m split: 1.85s – 1.95s.,10m split: 1.65s – 1.75s.,Track,"Weight distributed between feet and hand; look slightly down; explode forward, not up.",Drills,Open Track/Field,https://www.youtube.com/watch?v=mD7V-72Cj_Y
track,23,Light Sled Push,Pushing 10-20% body weight.,4-6,15-20m,Horizontal Force,⭐⭐⭐⭐,Maintain drive lean.,Sub 3.5s for 15m.,Track,Maintain a low shin angle; drive through the balls of the feet; keep arms locked or slightly bent.,Drills,Sled + Turf/Track,https://www.youtube.com/watch?v=83S8G48YkFw
track,24,Straight-Leg Bounds,"""Prime Times""—glute-driven snap down.",3,30m,Ground Force,⭐⭐⭐,Toes up; rigid legs.,Cover 30m in < 15 bounds.,Track,Strike the ground with the midfoot; pull the ground backward; keep knees locked.,Drills,None,https://www.youtube.com/watch?v=JUDTGZh4rhg
track,25,Prog. Wickets,Hurdles spaced further for top speed.,4-5,15-20 wkts,Stride Length,⭐⭐⭐⭐,1.8m – 2.0m spacing.,2.2m – 2.4m spacing.,Track,"Focus on ""stepping over"" the opposite knee; stay tall; do not reach for the gaps.",Drills,10-15 Mini-Hurdles,https://www.youtube.com/watch?v=GZbfZ033f74
track,26,Wicket Flys,Max speed over wickets after build-up.,4,40m,Max Velocity,⭐⭐⭐⭐⭐,0.12s – 0.14s between wkts.,0.10s – 0.11s between wkts.,Track,"High hips; ""quiet"" upper body; focus on fast, vertical ground strikes.",Drills,10-15 Mini-Hurdles,https://www.youtube.com/watch?v=kU-xGv7H8vI
track,27,Flying 30s,Max speed for 30m after build-up.,3-5,20m build,Absolute Top Speed,⭐⭐⭐⭐⭐,30m Fly: 3.40s – 3.60s.,30m Fly: 3.00s – 3.15s.,Track,"Maintain relaxation at peak speed; avoid ""clenching"" the jaw or shoulders.",Drills,Cones + Track,https://www.youtube.com/watch?v=L6_50Y9E_Yw
track,28,Ins-and-Outs,20m Max / 20m Float / 20m Max.,4,60m,Speed Maintenance,⭐⭐⭐⭐⭐,< 7.2s total (from fly).,< 6.4s total (from fly).,Track,"In the ""float,"" maintain speed without pushing; in ""max,"" increase arm frequency.",Drills,Cones + Track,https://www.youtube.com/watch?v=dkze_L3G0zU
track,29,Gradual Hill Sprints,"Long, shallow hills for power-endurance.",5,50-60m,Speed Endurance,⭐⭐⭐⭐,100% effort; maintain form.,Sub 8.5s for 60m.,Track,Maintain upright sprinting mechanics; focus on a high knee lift as fatigue sets in.,Drills,Long Hill (40-60m),https://www.youtube.com/watch?v=k_jD7P7-6Ew
track,30,Moderate Sled Push,Heavier sled for explosive steps.,5,10m,Specific Strength,⭐⭐⭐⭐,Consistent piston drive.,Sub 2.8s for 10m.,Track,Aggressive piston-like leg drives; keep the back flat and core braced.,Drills,Sled + Weights,https://www.youtube.com/watch?v=8q3H-E4N-2E
track,31,Sprint-Float-Sprint,30m zones to build speed capacity.,3-4,90m,Relaxed Velocity,⭐⭐⭐⭐,< 11.2s total (90m).,< 10.0s total (90m).,Track,"Smooth transitions between zones; focus on ""bouncing"" off the track during the float.",Drills,Cones + Track,https://www.youtube.com/watch?v=P2vN_yI9j6w
track,32,Curve Wickets,Wickets on the bend/curve.,4,10 wickets,Centrifugal Tech,⭐⭐⭐⭐,Lean into the curve.,Maintain Max V spacing.,Track,Lean the entire body into the curve; keep the inside shoulder slightly lower.,Drills,Mini-Hurdles + Curve,https://www.youtube.com/watch?v=z4qS9z091Xg
track,33,Sprint Reps,120-150m at 90-95% intensity.,3-4,Full Rest,Lactate Threshold,⭐⭐⭐⭐⭐,150m: 18.5s – 19.5s.,150m: 16.0s – 16.8s.,Track,Efficient arm swing (hip to chin); stay on the balls of the feet throughout.,Drills,Open Track,https://www.youtube.com/watch?v=S9pPj8YhXUo
track,34,Tempo Strides,"70% intensity, perfect mechanics.",8-10,100m,Aerobic Recovery,⭐⭐⭐,100m: 15.5s – 17.0s.,100m: 13.5s – 14.5s.,Track,"Focus on deep breathing and ""fluid"" movement; prioritize form over speed.",Drills,Open Track/Field,https://www.youtube.com/watch?v=uD5o1_4IeYg
Weight Room,35,Power Clean,Explosive lift to shoulders.,3-5,2-3 reps,Triple Extension,⭐⭐⭐⭐⭐,1.0x Bodyweight (BW).,1.3x BW.,Track,Bar close to shins; explosive hip snap; catch bar with elbows high and pointed forward.,Weight Room,Barbell + Plates,https://www.youtube.com/watch?v=vthMCtgVtFw
Weight Room,36,Snatch,Floor to overhead in one motion.,3-4,2 reps,Rate of Force,⭐⭐⭐⭐⭐,0.75x BW.,1.0x BW.,Track,Wide grip; one continuous movement; catch with locked arms and active shoulders.,Weight Room,Barbell + Plates,https://www.youtube.com/watch?v=BU16qEyqc1Q
Weight Room,37,Back Squat,Heavy squat for absolute force.,3-5,3-5 reps,Absolute Strength,⭐⭐⭐⭐,1.3x BW for 5 reps.,1.8x BW for 5 reps.,Track,Feet shoulder-width; knees track over toes; keep weight centered over the midfoot.,Weight Room,Squat Rack + Barbell,https://www.youtube.com/watch?v=XP-Gc02eUFI
Weight Room,38,Front Squat,"Upright torso, quad dominant.",3-4,4-6 reps,Anterior Strength,⭐⭐⭐⭐,1.1x BW for 5 reps.,1.5x BW for 5 reps.,Track,"Elbows high to keep the bar shelf stable; sit ""down"" between the knees.",Weight Room,Squat Rack + Barbell,https://www.youtube.com/watch?v=IcAm0R-FDRE
Weight Room,39,Nordic Curls,Eccentric hamstring lowering.,3,5-8 reps,Injury Prevention,⭐⭐⭐⭐,3s controlled descent.,5s+ descent / unassisted.,Track,"Fall forward as slowly as possible; keep hips extended (don't ""pike"" at the waist).",Weight Room,Bench or Partner,https://www.youtube.com/watch?v=7p5_Nl6N7I
Weight Room,40,Single-Leg Squat,Squat on one leg for stability.,3,6-8 ea.,Unilateral Balance,⭐⭐⭐,Thigh to parallel.,Weighted (20lb+) to depth.,Track,Control the descent; don't let the knee collapse inward; keep hips level.,Weight Room,None (or Bench),https://www.youtube.com/watch?v=J4T-DQ6Tna0
Weight Room,41,Bulgarian Split,Rear foot elevated split squat.,3,8-10 reps,Hip Mobility/Str,⭐⭐⭐,0.5x BW added load.,1.0x BW added load.,Track,"Upright torso for quads, slight lean for glutes; front knee stays behind toes.",Weight Room,Bench or Box,https://www.youtube.com/watch?v=hEDqwXKJXvI
Weight Room,42,Skater Squats,"Single-leg squat, knee to floor.",3,8 reps,Lateral Stability,⭐⭐⭐,Clean touch; no hands.,Weighted; 5s tempo down.,Track,Reach arms forward for counter-balance; back foot should not touch the floor.,Weight Room,None,https://www.youtube.com/watch?v=SQqzpOQVJ6Q
Weight Room,43,RDL,Hinge at hips to target hamstrings.,3-4,8-10 reps,Posterior Chain,⭐⭐⭐,1.0x BW for 10 reps.,1.5x BW for 10 reps.,Track,Push hips back until a stretch is felt; keep the bar against your legs; flat back.,Weight Room,Barbell or DBs,https://www.youtube.com/watch?v=mD7V-72Cj_Y
Weight Room,44,Hip Thrusts,Weighted bridge for glute force.,3-4,6-10 reps,Horizontal Strength,⭐⭐⭐,1.5x BW for 10 reps.,2.5x BW for 10 reps.,Track,Chin tucked; shins vertical at the top; squeeze glutes hard at full extension.,Weight Room,Bench + Barbell,https://www.youtube.com/watch?v=ZHM4n4aDgXg
Weight Room,45,Box Jumps,Jump onto high box.,4,3-5 reps,Explosive Power,⭐⭐⭐,"28"" – 32"" Box.","40"" – 44""+ Box.",Track,Land in a partial squat; step down (don't jump down) to protect the Achilles.,Weight Room,Plyo Box,https://www.youtube.com/watch?v=onibEea6FHE
Weight Room,46,Med-Ball Throws,Throw for height or distance.,4,5 throws,Explosive Core,⭐⭐⭐,10lb Ball / 15m Dist.,12lb Ball / 20m Dist.,Track,"Triple extension (ankles, knees, hips); throw the ball up and back as far as possible.",Weight Room,Medicine Ball,https://www.youtube.com/watch?v=S9pPj8YhXUo
Weight Room,47,Farmer Carries,Heavy walk to build core strength.,3,40m,Anti-Rotational,⭐⭐⭐,0.6x BW per hand.,1.0x BW per hand.,Track,"""Tall"" posture; ribcage down; small, controlled steps; don't let weights swing.",Weight Room,Heavy DBs or KBs,https://www.youtube.com/watch?v=mD7V-72Cj_Y
Weight Room,48,Calf/Tibialis,Front/back lower leg strength.,3,15-20 reps,Force Transfer,⭐⭐,20 reps Bodyweight.,Weighted / 3s isometric.,Track,Full range of motion; pause at the top/bottom of the movement.,Weight Room,Step or Tib-Bar,https://www.youtube.com/watch?v=iQ4JjOK73PE
Weight Room,49,Hanging Knee Raises,Lift knees to chest from bar.,3,10-15 reps,Deep Hip Flexors,⭐⭐,Controlled; no swinging.,Knees to elbows.,Track,Avoid swinging; compress the abs to pull the pelvis toward the ribs.,Weight Room,Pull-up Bar,https://www.youtube.com/watch?v=oeuKRVdhxXQ
Weight Room,50,Plank Holds,Isometric hold for rigid torso.,3,45-60 sec,Core Stability,⭐⭐,Perfect flat spine.,Weighted (45lb) for 60s.,Track,Create a straight line from ears to heels; squeeze glutes and quads.,Weight Room,None,https://www.youtube.com/watch?v=W0-vP6T_S80

